ds,yhat,yhat_lower,yhat_upper
2022-01-01,1473.2618327513492,-1057.9036221681552,3748.2687416460153
2022-02-01,1521.5301898419661,-714.5346104044445,3892.9945345744522
2022-03-01,1617.1730279770072,-769.3912783828297,3943.302586912624
2022-04-01,1539.4883629375265,-762.0909016352857,3820.5352275186556
2022-05-01,1421.5276045373182,-702.176413609792,3695.6263103639344
2022-06-01,1239.381537338091,-971.5809162724917,3549.4978690041085
2022-07-01,1104.1249029121193,-1278.8159683136657,3505.3840935971502
2022-08-01,1152.4765865544036,-1126.628598883156,3547.772231800461
2022-09-01,1121.6838978894732,-1190.945966221007,3396.1966319525345
2022-10-01,1013.566236686944,-1284.880723688911,3298.3562792027888
2022-11-01,1185.4356124507876,-930.951549333688,3547.3863119934385
2022-12-01,1370.343734234133,-726.3897499075899,3859.9014603194205
2023-01-01,1558.131928468437,-643.1448484732109,3799.3161076721826
2023-02-01,1613.7551103417443,-464.98705035950985,3940.0431226733895
2023-03-01,1676.9100281851065,-666.0483641791956,4007.3819612009684
2023-04-01,1616.0834685167595,-632.1879975818159,3928.101402073312
2023-05-01,1497.4113515283457,-767.620489610331,3865.0956593430305
2023-06-01,1303.6217039538087,-953.4514569629306,3772.191841778441
2023-07-01,1188.2853908120514,-1063.808323211851,3546.727007073623
2023-08-01,1241.9178765827044,-928.7725201858965,3393.859748032217
2023-09-01,1196.5146097041766,-1337.0486280733817,3415.023815614742
2023-10-01,1086.1923820389118,-1373.3788152019165,3468.000412047562
2023-11-01,1244.5542208791858,-1268.8611005489818,3536.515656013904
2023-12-01,1439.4634359675565,-758.3093030070617,3740.943001459163
