ds,yhat,yhat_lower,yhat_upper
2022-01-01,10936.622167356125,-29829.457684071105,49349.233335615696
2022-02-01,10608.12986399864,-27906.767896399262,52662.45661629795
2022-03-01,10619.63540754404,-30424.317015154276,52146.3119071137
2022-04-01,10738.699844988818,-30123.157347273424,54715.17250970931
2022-05-01,10067.308914959774,-29655.860978550674,51179.64832556155
2022-06-01,10413.14656445737,-27191.80631454501,52845.561802855824
2022-07-01,10820.377439132422,-32464.961108025098,49882.411955181116
2022-08-01,13013.879186476226,-27143.667133266023,54134.49794628949
2022-09-01,10293.75897960542,-31137.52969870577,50819.006019983266
2022-10-01,8866.6118967523,-30376.683915325277,48569.77408706075
2022-11-01,9231.59580272513,-32162.246343321614,50869.71114283914
2022-12-01,9728.588044322742,-30374.12153360756,51920.122531849
2023-01-01,10719.717015653798,-30235.45618256331,52477.46883844585
2023-02-01,10712.17269104765,-27947.616043384343,50444.17197438141
2023-03-01,9906.818609744545,-32749.276513924466,54190.00443857161
2023-04-01,10336.755397426836,-31155.777053167512,53070.81143119731
2023-05-01,9734.07190012169,-30890.26640401642,56793.468607731156
2023-06-01,9937.129720793395,-31298.562376967922,53170.07283774626
2023-07-01,10391.570173982467,-31023.112460292035,49415.70148848235
2023-08-01,12722.00299133326,-29245.054811645005,53866.37031146855
2023-09-01,10133.569441416439,-30689.249676989613,50510.41291260634
2023-10-01,8641.376190250705,-31967.722361820386,51782.262025347205
2023-11-01,8465.616281338118,-30684.900765796974,52095.02243686775
2023-12-01,9115.608778426742,-28843.32360828086,49764.18043069411
