ds,yhat,yhat_lower,yhat_upper
2022-01-01,77432.75996540586,-187583.2213711145,343764.9531466736
2022-02-01,72454.35381133124,-199470.5023278506,325695.3927599531
2022-03-01,69962.69239646189,-196174.40598496358,321795.40972669097
2022-04-01,68776.65367392196,-200711.7827884383,336479.8355936121
2022-05-01,66885.1606408324,-208472.0747110448,321188.119304473
2022-06-01,69515.15630266884,-192056.4298748722,328024.93198279175
2022-07-01,72712.91532219434,-167292.92108469858,329309.3818887459
2022-08-01,72280.15023544761,-189204.890276318,339296.0446641958
2022-09-01,70358.60885905557,-194228.14920265315,329476.0110982999
2022-10-01,66099.70986029766,-202054.8785701264,311645.15791488683
2022-11-01,68913.88501212749,-203145.2458872823,306403.6137782951
2022-12-01,76884.66285601,-189396.91078429625,335335.45791898575
2023-01-01,78811.22104338885,-190994.32623895723,353492.04874560295
2023-02-01,74068.1742276315,-185048.33509039407,319580.44903540437
2023-03-01,71636.05530060668,-198696.458255439,346436.2498601747
2023-04-01,71031.52725317253,-191251.23233391246,344368.574517725
2023-05-01,69049.77791527704,-192790.72861561106,320474.0801474079
2023-06-01,71312.30422622278,-202200.46615703392,318236.1600945735
2023-07-01,74285.54410198254,-192804.6687849721,345589.57743173104
2023-08-01,73359.5344009473,-173012.0616115505,345242.0678848616
2023-09-01,71866.12682626242,-182868.27339642454,336316.2162640897
2023-10-01,68918.67163102694,-194401.21004767326,343312.0586998661
2023-11-01,70921.88990658734,-180012.76215400524,332702.7623362862
2023-12-01,78514.97061305493,-175198.35615450682,360478.5955229989
