ds,yhat,yhat_lower,yhat_upper
2022-01-01,43972.72880431757,-84678.2454177757,167309.87774128185
2022-02-01,43719.490909578126,-94188.75278088216,173631.75316021414
2022-03-01,41277.643258533666,-88532.9713947584,174229.9310833833
2022-04-01,42469.56216235189,-77950.3614760885,168848.96590909798
2022-05-01,39196.084004088676,-94992.58463327092,172181.83347605006
2022-06-01,40396.69536692821,-89107.69048531316,178980.32288492523
2022-07-01,41854.67403652914,-83392.38584224283,178055.31251850998
2022-08-01,50247.05941159571,-78514.87983127373,168888.27711401012
2022-09-01,38568.044420097336,-85398.26015945186,163344.84304997945
2022-10-01,33928.19632242242,-101993.91222990523,161766.48095555906
2022-11-01,37442.672166883014,-87767.10542535197,168067.62037723378
2022-12-01,39834.49378247014,-82973.12341349488,172658.25592871048
2023-01-01,43922.90224459837,-84377.42241837847,162541.10282795515
2023-02-01,44534.26325293935,-88365.58822091944,168078.43246548565
2023-03-01,40337.60010482514,-93605.65539101648,170155.1285909557
2023-04-01,42588.75389413335,-81896.54629073593,166438.59573502126
2023-05-01,39017.39072358636,-93039.22378180304,180027.67204606475
2023-06-01,39776.17768255851,-91321.51319976502,162854.75445394733
2023-07-01,40910.7510568132,-87110.75768400355,176954.51963159136
2023-08-01,49465.21437656892,-78948.6707688389,177586.85855121305
2023-09-01,39845.45169878435,-82899.31877814578,161979.4976046196
2023-10-01,34804.02390115308,-101486.11261363723,155925.62364448045
2023-11-01,35472.00942985593,-98159.41657722594,164520.19454069508
2023-12-01,38743.67351242245,-89305.52704787948,172988.62762353825
