ds,yhat,yhat_lower,yhat_upper
2022-01-01,7605.26666744084,-18329.623944572217,33529.56166933534
2022-02-01,7616.30413350864,-19510.300757906214,32396.004869778473
2022-03-01,6901.408124902294,-19987.69456434462,32893.4012249003
2022-04-01,6854.680495356672,-19617.19015435367,31200.93323576751
2022-05-01,6247.786084540937,-19548.751852173395,32961.63765696113
2022-06-01,6577.622579163733,-18937.81149956868,33194.33004814215
2022-07-01,6914.983579268353,-20694.206462322094,31480.591452003493
2022-08-01,8070.853605917197,-17579.773789246683,34696.84798043241
2022-09-01,7230.485981342111,-19446.788704370607,32410.4547389777
2022-10-01,6002.455544322768,-18816.559838104622,32891.12616043951
2022-11-01,6208.798157202242,-21264.19421938643,31690.283955003073
2022-12-01,6848.6905820702395,-18910.846383709795,31415.192466215867
2023-01-01,7915.46853162349,-17803.492681952815,34152.11590343583
2023-02-01,8085.715216924245,-16191.535046429895,34328.80619367091
2023-03-01,6990.648805616981,-17459.86403162564,33231.57299445923
2023-04-01,7144.633389134054,-19293.494043637333,33391.46694920553
2023-05-01,6543.295187773232,-18957.25304865241,32205.15740465935
2023-06-01,6836.316660974413,-18832.61702809619,33657.62157703933
2023-07-01,7136.329566636568,-19180.48636930746,34172.024087233054
2023-08-01,8322.471592282958,-16670.21999515916,34164.25759283302
2023-09-01,7574.769284749602,-16153.884386580667,34426.752070095215
2023-10-01,6375.232847867219,-19251.912875623944,33110.029965121365
2023-11-01,6315.878917598592,-19534.860845275663,33796.167251602295
2023-12-01,7028.076060297849,-18233.913144790866,34044.18006564956
