ds,yhat,yhat_lower,yhat_upper
2022-01-01,108332.63947381244,-158135.51957598428,351694.3965495229
2022-02-01,104025.43054184722,-167241.0181687519,339100.8468926191
2022-03-01,115492.73226154644,-150757.43941572713,366824.23267846124
2022-04-01,115230.34103889503,-136533.0687601456,359063.4642023023
2022-05-01,119635.70858422597,-139752.592463574,353740.66742898343
2022-06-01,120530.99415095743,-122415.9086982774,377482.3676756107
2022-07-01,125630.66426640234,-120251.34641684867,377209.55156832165
2022-08-01,123653.42701922354,-135245.7643868332,387686.0777963298
2022-09-01,118515.76348153032,-136393.41836706028,393305.4989522777
2022-10-01,116475.60063122914,-134776.1390238932,355810.6776689281
2022-11-01,114379.58137636258,-134246.94100511697,376651.7209429323
2022-12-01,114008.44944230095,-149365.84003054295,381862.85264655616
2023-01-01,122187.73596381932,-115543.68200842293,386534.5392322402
2023-02-01,118387.86001270436,-123818.54390173774,369665.5659252221
2023-03-01,128843.97725311977,-122670.5252874094,385141.3878385408
2023-04-01,128860.5100444952,-124207.59883522584,387368.91387284396
2023-05-01,133084.56732262523,-121109.03247631538,392085.34272613603
2023-06-01,134403.2746129308,-117290.63442700598,381102.2380511762
2023-07-01,139577.91575698013,-120962.62187413337,417588.99911431683
2023-08-01,137497.3713220592,-128099.3976686499,408264.11554041866
2023-09-01,132241.6249071977,-125369.95919689616,387635.1418545513
2023-10-01,130335.97932481975,-137728.21729454247,386878.7285214499
2023-11-01,127951.63908960645,-127018.7858644599,373997.2518758953
2023-12-01,127413.31084525648,-121141.2139266496,382321.9114430634
