ds,yhat,yhat_lower,yhat_upper
2022-01-01,9929.869080147586,-61811.49757555514,86142.47788333661
2022-02-01,9986.242570267503,-70801.9373790446,86187.8206236081
2022-03-01,9371.378337612536,-69190.43746326106,89824.37678399913
2022-04-01,9450.086340071335,-70413.62431739627,84643.8763924688
2022-05-01,8896.304380243224,-68148.58231886456,86306.64411685374
2022-06-01,9008.685458850356,-69528.36641726509,81224.79085016824
2022-07-01,9520.183437992053,-67242.08283788503,83600.57379544266
2022-08-01,10928.824837461727,-64366.56246428074,81910.00676581639
2022-09-01,10428.152503628615,-66095.64206059283,91861.03522239867
2022-10-01,8844.723150329082,-71533.68213292655,88878.84292769738
2022-11-01,9024.038772376045,-67479.46052709658,81129.66981072468
2022-12-01,9506.481878181017,-65828.88949317885,88287.32120268032
2023-01-01,10281.955654353276,-64881.900198248724,89218.10158747199
2023-02-01,10470.906432154932,-72793.82584624704,84252.33001665595
2023-03-01,9716.086326733575,-69155.52900936698,84534.34836840321
2023-04-01,9918.163452492365,-69300.63059544541,85349.11726535496
2023-05-01,9336.595549886551,-68049.45025834795,84033.32011037358
2023-06-01,9415.193014016018,-64922.00997402771,91245.09945748809
2023-07-01,9761.309897666986,-67893.8810277676,85345.96346773769
2023-08-01,11397.224079656851,-61083.51648575478,85166.99282233245
2023-09-01,10924.017819300578,-66447.92370738144,84456.72348878652
2023-10-01,9290.518970667688,-70929.69208588511,87187.33869154385
2023-11-01,9356.321942185328,-67444.94496197118,81180.69822754855
2023-12-01,9914.143163132509,-71660.17179242604,84519.55439087641
