ds,yhat,yhat_lower,yhat_upper
2022-01-01,26472.083295635483,-70079.57979677894,120073.9233737116
2022-02-01,26156.721260003098,-73976.29645617057,129030.54197878834
2022-03-01,23806.3450793552,-69936.75625436814,117161.34332849011
2022-04-01,23628.440067305593,-66788.52938102356,120271.52143297833
2022-05-01,22363.936869948935,-75098.43906829822,117506.03286607796
2022-06-01,23416.613889840504,-73856.61585321557,123186.36601679544
2022-07-01,24733.705177116397,-64563.67328238622,113196.64720758013
2022-08-01,28405.29593062869,-66937.36703024192,122214.15799003182
2022-09-01,23845.873062953066,-66591.00370660846,122800.20971369318
2022-10-01,20993.24649496637,-76787.5255993986,119473.58851997658
2022-11-01,22144.829673298016,-69575.79174825722,120428.7930463678
2022-12-01,24328.602154174547,-67426.96113062881,115221.65843665815
2023-01-01,27238.450585250826,-57116.97924241038,125891.17037128053
2023-02-01,27255.686635224578,-58576.83802383848,129350.9544445121
2023-03-01,24246.321716552637,-71075.50935612773,109994.10900606586
2023-04-01,24414.182953057767,-71416.45401938804,121723.10864189242
2023-05-01,23207.21155786023,-72078.1161474442,117710.59716089138
2023-06-01,23913.57891050206,-74447.41400119553,120326.59348432734
2023-07-01,25025.621789995752,-68077.39469817253,118011.50608227352
2023-08-01,28857.83727468847,-70514.09294434423,127542.72873068086
2023-09-01,25190.13041114605,-70134.79762979575,122807.80000310324
2023-10-01,22193.509096212536,-75697.6710167806,108306.53442289284
2023-11-01,22154.713514063526,-64453.53849716149,116515.22194260507
2023-12-01,24583.2627047657,-63626.521674652104,122411.81820304137
