ds,yhat,yhat_lower,yhat_upper
2022-01-01,6474.985189139887,-11405.145274995522,23725.987880376964
2022-02-01,6566.918596845233,-11497.434569189485,23972.759172089107
2022-03-01,5837.047367548485,-11154.094741978686,23751.966904998375
2022-04-01,5674.9046607500195,-11833.095583913895,24875.89657412268
2022-05-01,5114.136124184581,-12667.906569416344,23060.981220300386
2022-06-01,5305.044201280029,-13645.52271933974,23215.547319639692
2022-07-01,5509.262539427816,-12056.136502869718,23759.629587129428
2022-08-01,6460.01230244518,-10201.617422208203,26209.16362039534
2022-09-01,5821.712596396141,-12196.038566957432,23935.84500714028
2022-10-01,5072.558698063871,-14217.425651481954,24961.06957545949
2022-11-01,5550.788672214382,-13631.165100771106,24623.237855303687
2022-12-01,6280.71623955436,-11750.820462641406,25195.774939045376
2023-01-01,6987.805146649587,-10838.280352602405,25750.95237424319
2023-02-01,7047.986343236287,-10777.398860773168,24909.705136969005
2023-03-01,6264.511717986622,-10910.4425766157,25445.96926034747
2023-04-01,6258.619877215728,-11917.432112387183,24479.38247446219
2023-05-01,5684.141223689465,-12218.730346509907,23948.799375193506
2023-06-01,5796.223759918435,-12826.425743983402,23630.22100488375
2023-07-01,5877.528053715776,-11478.560033943455,23889.063659786792
2023-08-01,6927.496645359168,-12294.375584300857,25288.121870438707
2023-09-01,6320.598952490055,-11839.562847206053,24638.141022605054
2023-10-01,5705.637081736366,-12234.305424787513,22544.054402727594
2023-11-01,6020.484679461726,-12012.562294797153,24393.67109369145
2023-12-01,6708.8359374453485,-13444.139734173055,24543.077793801083
