ds,yhat,yhat_lower,yhat_upper
2022-01-01,6601.051458033795,-18100.507507637958,30463.029531920958
2022-02-01,6686.723872641609,-17800.638518221516,31087.673553055003
2022-03-01,5920.21912344601,-20555.099491681976,30640.176595378303
2022-04-01,5692.0516336259925,-19450.09007029055,29577.363116278877
2022-05-01,4985.356437317111,-19370.828591819944,28644.017515853237
2022-06-01,5069.333142419937,-19068.256275965094,28952.91101737709
2022-07-01,5352.739993700115,-17895.29932237651,30625.589057101024
2022-08-01,6384.5721272289475,-18581.335655633673,29058.237137523978
2022-09-01,5641.9057156740955,-18865.665462017532,29614.138625109867
2022-10-01,4601.644627228054,-20937.73451721791,27086.547722173782
2022-11-01,4999.851976764651,-20648.180545835487,30425.114905597537
2022-12-01,5850.666458447078,-19007.224450810158,29810.6040103556
2023-01-01,6740.476188869392,-15911.883533369728,31540.500620224375
2023-02-01,6900.76872417499,-16660.241815454698,30495.362432106547
2023-03-01,5884.233179077501,-17290.592905746875,29847.820867365986
2023-04-01,5818.55479256361,-17246.49102039849,29819.142478976166
2023-05-01,5122.055194512988,-21810.996833333225,28510.996752863975
2023-06-01,5172.758854703776,-19863.90778755705,30255.99736731864
2023-07-01,5443.914817830588,-19849.343286287472,31074.502251137525
2023-08-01,6530.400096082874,-16557.626859062708,33391.09877553833
2023-09-01,5705.873837867278,-20113.145305927796,31027.980013235727
2023-10-01,4756.969640730382,-17517.46460504863,28700.76499027954
2023-11-01,5017.545888112974,-19337.64028673686,30018.03151262147
2023-12-01,5951.680346719411,-18674.619429036735,31465.095156343454
