ds,yhat,yhat_lower,yhat_upper
2022-01-01,26379.422708752627,-88345.82167397765,126438.59545863148
2022-02-01,25066.89701184483,-81275.52107230715,133295.66953215926
2022-03-01,25698.613544393673,-71610.4111847279,132466.02613436303
2022-04-01,24806.086968050447,-94206.57955348618,127445.33973416759
2022-05-01,24673.495922419665,-81716.40480274276,138871.04538842724
2022-06-01,25350.473711240662,-90754.67749971109,132727.63347934163
2022-07-01,26826.09329157583,-83579.75155334813,135436.28501848286
2022-08-01,26436.648683866464,-87368.64054544963,134389.76616921969
2022-09-01,23980.11926478465,-80511.9560622154,126772.79949996022
2022-10-01,24218.93499436585,-79559.78822539501,129485.4738471804
2022-11-01,25104.30585858441,-82139.5237494517,138811.247017072
2022-12-01,26994.482874243786,-72224.71462248794,135592.62793574485
2023-01-01,29018.66093334214,-75076.38292890138,138760.04174136437
2023-02-01,27868.399723459923,-73119.02977002542,130949.69585509901
2023-03-01,28192.602171155973,-88308.53036476842,127637.9087916582
2023-04-01,27463.19528841196,-72138.25202056642,137558.4726793512
2023-05-01,27350.424331939164,-77305.10221134803,144605.2823552567
2023-06-01,27927.217793141772,-75701.66902031035,135296.69155809144
2023-07-01,29284.17098352069,-83510.58450685377,140679.44607707692
2023-08-01,29027.325969453603,-74070.91100950673,137147.42462379768
2023-09-01,26782.47952611211,-84820.97702934738,130348.12506069377
2023-10-01,26940.661662080664,-77950.94213236957,141865.75638339418
2023-11-01,27642.470387895286,-73418.55935994266,132494.8347571006
2023-12-01,29365.66991381731,-71393.84317233328,142680.44054749818
