ds,yhat,yhat_lower,yhat_upper
2022-01-01,6697.271872206736,-22145.111467900562,34797.67771131802
2022-02-01,6550.741464963528,-19583.526691212657,34640.13899152378
2022-03-01,5837.641330093888,-20602.420699260318,30186.174236175742
2022-04-01,5657.83860169046,-23253.281207853815,31679.4641911394
2022-05-01,5031.583941206084,-20798.01678655426,29033.10755569674
2022-06-01,5139.990814458978,-21142.20476222229,32060.999830986668
2022-07-01,5399.752093725596,-20961.703190929366,31675.338273612346
2022-08-01,6772.363577469025,-21305.504850380425,34372.04069589609
2022-09-01,5764.253764774582,-20463.460411508302,32623.166294723884
2022-10-01,4445.375615159071,-21915.464471941967,33211.8920473036
2022-11-01,5047.032562316971,-24583.723164533392,33272.7477061887
2022-12-01,5667.116009769168,-20610.772812341096,34547.31545860726
2023-01-01,6529.773406325734,-19617.163487075293,35826.386785951036
2023-02-01,6460.668334759228,-22390.64282080067,31758.66467742675
2023-03-01,5602.959440939887,-22761.736775226767,31806.969679519003
2023-04-01,5521.307802268286,-22598.184301365844,32142.252924629403
2023-05-01,4907.30631087105,-23858.916260678212,31394.641951465084
2023-06-01,4960.985493951301,-21488.67882233774,31960.525861419424
2023-07-01,5134.30872797657,-22656.356009207775,31706.04652899028
2023-08-01,6592.743106759274,-20475.51234067044,32959.35370755856
2023-09-01,5611.045699930799,-22289.87056561569,31715.278929680124
2023-10-01,4416.9090665181,-20564.04141874866,31620.02838851123
2023-11-01,4824.166986205239,-22311.504674789096,30707.528547039026
2023-12-01,5384.872384121956,-23300.853762395673,34339.34255189992
