ds,yhat,yhat_lower,yhat_upper
2022-01-01,20109.262674157115,-15384.267217306107,52094.245120701
2022-02-01,19112.665370007373,-16411.49210881116,54943.92844753021
2022-03-01,19582.862713908613,-16994.47848660862,54863.98316755995
2022-04-01,18427.90675730325,-17334.43379355078,51372.19576080276
2022-05-01,17929.638072571222,-17124.144836210475,53838.18130634844
2022-06-01,17628.400103260235,-17230.801190958377,51932.23270692242
2022-07-01,18282.144758597955,-16985.874498444147,50561.375653455565
2022-08-01,18642.25456615871,-14820.155103539795,53484.049314844626
2022-09-01,18065.240020401725,-12180.008446205775,52420.05449281045
2022-10-01,17856.91366413475,-16912.17327171138,52743.50813460594
2022-11-01,19184.773289854864,-15693.413722626741,51331.11029730895
2022-12-01,20785.343847471275,-11052.932318874391,54586.14063795363
2023-01-01,22220.68929236009,-10052.107482316083,54687.70582136531
2023-02-01,21325.483567065483,-13892.27663133572,56316.12075483807
2023-03-01,21715.964739763414,-14858.923455120525,54899.96549276088
2023-04-01,20648.305682759976,-13190.652962425134,55481.39929953825
2023-05-01,20110.456708461377,-13229.549297823933,51020.353492956005
2023-06-01,19763.81184945317,-15272.605422603454,52821.61567121986
2023-07-01,20479.35072728127,-15215.103597238016,54907.42290339371
2023-08-01,20722.028474891387,-11164.835954442182,54372.255503685374
2023-09-01,20210.759785316583,-13520.352770045796,54335.31771502311
2023-10-01,20159.85498274381,-13839.359765322793,53911.33320672872
2023-11-01,21306.616335401028,-13540.087388702645,54627.749334798275
2023-12-01,22913.17337729154,-11289.383182963098,57294.72849420396
