ds,yhat,yhat_lower,yhat_upper
2022-01-01,5501.594661618948,-19441.813021478523,33867.808751622644
2022-02-01,5365.562458929489,-24633.437074620913,33176.505263413535
2022-03-01,4675.051632546655,-21149.302407420324,32806.03491751648
2022-04-01,4329.101594457969,-23479.079752376663,31337.552843346897
2022-05-01,3751.133917119772,-23704.994829744563,30354.713266283346
2022-06-01,3857.6278127612186,-25100.38985297598,31674.856415618062
2022-07-01,4181.140618474164,-23778.28088086391,32888.02435530817
2022-08-01,5190.884980319624,-22260.2418066908,35054.80025401065
2022-09-01,4453.816608486188,-22790.609117584856,31390.22597275179
2022-10-01,3565.166583963437,-23384.410703302936,32600.06540891575
2022-11-01,4031.481758007605,-22843.578893195347,31569.29718359916
2022-12-01,4962.919048280144,-24469.718851332847,31730.541278247176
2023-01-01,5590.535148800142,-24633.516071883445,33762.09034190534
2023-02-01,5449.34560156359,-22505.632772970304,32164.042468615884
2023-03-01,4698.677635116287,-22929.42459092359,32139.918638371837
2023-04-01,4469.838750782943,-22932.46547145442,34412.36076576806
2023-05-01,3880.1388258895395,-22619.47503255025,32106.85510586035
2023-06-01,3905.4125965478593,-26847.615474457412,30929.710642971357
2023-07-01,4217.590648364196,-23369.24316996401,32592.662507742276
2023-08-01,5316.767266768947,-21206.307919223134,34446.2895990415
2023-09-01,4519.286355433901,-22075.70388370325,32320.344652230717
2023-10-01,3670.3319248536795,-24474.029517192725,30568.962341247923
2023-11-01,4080.21262019993,-24306.275065339112,31324.007357811905
2023-12-01,5071.473723287227,-18790.013385087077,32404.876406341416
