ds,yhat,yhat_lower,yhat_upper
2022-01-01,1291.3489188045437,-479.0223016769026,3184.2261156640843
2022-02-01,1279.5069625887552,-528.5151365730375,3132.562586526683
2022-03-01,1127.6799358366102,-740.5965919929089,2952.2767651474173
2022-04-01,1008.6404044795258,-861.3303626001549,2777.038894688659
2022-05-01,865.1369053913128,-1054.4179741113587,2711.1501131862947
2022-06-01,837.8249787319965,-983.923871213761,2727.9477626464763
2022-07-01,822.3820868093317,-945.4509614894138,2568.3671233273603
2022-08-01,1001.7028446801992,-837.7775447664612,2910.34655344486
2022-09-01,893.4308449574478,-918.1162576788157,2872.4521456311077
2022-10-01,812.2806683015834,-940.5089348225608,2640.745571590186
2022-11-01,939.7605049085901,-1021.566568198128,2751.565526302611
2022-12-01,1112.8917922292553,-739.0748888694417,2881.7924075925744
2023-01-01,1345.2367949527254,-620.6526399947331,3163.365445892701
2023-02-01,1384.0696802778139,-369.6690360408951,3235.508653665168
2023-03-01,1161.2346068033578,-651.1550507952005,3096.1635420829707
2023-04-01,1061.6331547990646,-703.2643547818517,2932.6320511100644
2023-05-01,925.9463420437239,-850.6337750757441,2814.8146107970942
2023-06-01,888.4826666706186,-935.1434172337367,2731.373864768255
2023-07-01,897.9538376804444,-945.9173102751895,2742.032052948503
2023-08-01,1084.066203998797,-743.4371991053566,2899.5381412633233
2023-09-01,937.0378528870186,-938.9129482009662,2772.609850810992
2023-10-01,863.9056674334078,-1015.0795356363916,2632.1587269575293
2023-11-01,997.0143631447842,-925.1191899206273,2743.177086488958
2023-12-01,1165.97383025872,-651.0812165046711,3027.336580483235
