ds,yhat,yhat_lower,yhat_upper
2022-01-01,14104.024516250622,-54656.54881858884,77840.42176277898
2022-02-01,12710.641600221139,-56714.881520408024,78682.7254125716
2022-03-01,12308.090150293088,-56775.842879208845,80690.17085493685
2022-04-01,10871.273567927208,-52105.1122309506,77682.80977438357
2022-05-01,9895.592575329272,-56631.99301340441,82060.90176919308
2022-06-01,10379.00292371029,-61095.19141322366,80995.07567258272
2022-07-01,11205.554819076944,-57648.27317394094,80751.58220446963
2022-08-01,11487.878611896544,-58541.234004891725,80789.65634258256
2022-09-01,9293.981559131895,-56428.61477961637,84486.89872224045
2022-10-01,8970.563408893857,-64296.7146919992,77636.72467633276
2022-11-01,10520.367603801991,-57831.872389639524,83058.30407888771
2022-12-01,12725.712115549582,-57213.22225594585,79617.87584597725
2023-01-01,14190.057181594455,-52496.284710666194,88859.0719210552
2023-02-01,13059.011640663124,-54449.02859261687,81839.24378980276
2023-03-01,12100.575315327073,-53416.67857892258,79686.80428565595
2023-04-01,10961.223368830682,-54820.680463321754,80099.76127297482
2023-05-01,9938.244677599072,-60660.08784484918,74444.39203541953
2023-06-01,10213.860268566148,-56101.71820509419,83240.86248039917
2023-07-01,11118.7812976476,-60114.8566329429,82824.86294717516
2023-08-01,11456.346280800346,-60059.088592114276,86022.20161748458
2023-09-01,9544.424653178405,-58585.925404025445,79031.73613783211
2023-10-01,9246.771856405065,-61845.81889523775,76591.66239169613
2023-11-01,10184.144724369986,-58453.563916527055,78486.86209172239
2023-12-01,12404.616382729288,-53405.44983380224,78491.04296877168
