ds,yhat,yhat_lower,yhat_upper
2022-01-01,3650.8954294170935,-8144.262201609152,14546.09215063967
2022-02-01,3627.8413624076234,-8146.439809029744,14655.141467095438
2022-03-01,2963.5423279195047,-7829.154291638116,14057.880906041546
2022-04-01,2695.1654003254644,-8292.048488128718,14031.009215209102
2022-05-01,2299.0376063654544,-8579.90299721496,13363.126559471582
2022-06-01,2356.461687976798,-9265.35113237215,13309.646693773431
2022-07-01,2582.091213799915,-8510.874081497657,13632.491212169489
2022-08-01,3157.4706061622464,-7347.273535615202,13946.620841132364
2022-09-01,2566.406789180194,-8692.13473799267,13305.777402143949
2022-10-01,2150.459793554726,-8656.724157534232,13525.605526496955
2022-11-01,2475.55719987127,-7608.056572557311,13447.396442184561
2022-12-01,3077.2483418990496,-7662.261723983286,14481.7989392064
2023-01-01,3623.417128363759,-7079.3682529359485,14169.844351648897
2023-02-01,3610.990301015172,-6922.508605979603,14265.462253599013
2023-03-01,2916.1780991988135,-8007.235017128314,13950.105651475997
2023-04-01,2752.8055477881226,-8940.061466309726,13755.477376992183
2023-05-01,2304.8391730198846,-8181.842740466368,13466.584975650385
2023-06-01,2340.6200187345285,-8791.75834103356,12588.603962935507
2023-07-01,2546.305673565663,-7803.69992507431,13804.254615299797
2023-08-01,3144.3140430165877,-8226.697510726199,13892.583254438794
2023-09-01,2497.3898062894946,-9062.903095846888,12543.339629380387
2023-10-01,2218.2211724976833,-8189.111641997378,12773.003224062784
2023-11-01,2476.4291450137316,-8477.551486497683,13582.72042796579
2023-12-01,3055.8163636302056,-8336.856936903383,14022.536019204335
