ds,yhat,yhat_lower,yhat_upper
2022-01-01,4462.480902835272,-20572.425611082363,26791.64400382328
2022-02-01,4545.508059095047,-17766.948975612962,31457.416797861933
2022-03-01,3971.4956376973428,-20704.76349647844,29787.641885866113
2022-04-01,3837.9611121267185,-21222.919957501592,28417.366998522393
2022-05-01,3410.234309195978,-20812.66018959438,25724.20780840855
2022-06-01,3491.0815326068214,-22497.973797661933,26111.054539373166
2022-07-01,3623.776603006593,-20941.89408948561,27431.55550318344
2022-08-01,4449.971432191912,-19137.846435982105,30818.526042642938
2022-09-01,3912.2103932154887,-21402.84387736824,30490.43086429445
2022-10-01,3196.053575856647,-21628.268623289892,27378.427671744786
2022-11-01,3399.542769015792,-21373.872838918283,27729.081035369352
2022-12-01,3942.676805797903,-19330.824150161905,28920.72287838824
2023-01-01,4723.135134945188,-22677.26051515362,28552.99047766541
2023-02-01,4856.282090008318,-20036.45495666535,30247.525693372674
2023-03-01,4099.183929834193,-20838.55757367677,29362.94302174743
2023-04-01,4081.024894202817,-21429.467652816566,29564.886682285323
2023-05-01,3683.5164539971297,-22166.83875348199,29737.87819471502
2023-06-01,3699.0683071882227,-21039.11967785555,28521.911980769633
2023-07-01,3803.0393152726424,-20223.738046170987,29562.676445594905
2023-08-01,4664.202356328543,-21774.44634235462,30085.052822242043
2023-09-01,4160.032570588645,-20504.576268415403,28350.5276443391
2023-10-01,3513.747881204737,-21286.12016470361,28693.650119720995
2023-11-01,3536.978388967371,-22356.983204721437,27919.366686962036
2023-12-01,4103.889322476888,-20641.05749857938,27462.154471199283
