ds,yhat,yhat_lower,yhat_upper
2022-01-01,6402.108093911872,-9994.2796374844,22141.502195933055
2022-02-01,6488.993466688606,-9400.609428377511,22368.36085047583
2022-03-01,6107.591936815819,-10901.735296571092,21570.48310563485
2022-04-01,5708.7660666503325,-10713.02227565774,22001.63788964168
2022-05-01,4772.3798978375435,-11073.356659253683,21937.419926737548
2022-06-01,4201.8027820024745,-10889.92512321199,18608.81213678766
2022-07-01,4087.0159015967715,-11827.534635174301,19378.196691776917
2022-08-01,4460.539484856728,-12556.397559127756,19641.344096307752
2022-09-01,4063.3968957676107,-11274.164724118114,19228.83157990883
2022-10-01,3693.765665455948,-11909.0702728852,18870.046376311977
2022-11-01,4684.569457558071,-10856.395507201749,20615.31506408438
2022-12-01,5734.43588754688,-9513.93238439157,21314.36095934121
2023-01-01,6773.251121869307,-8869.337429691963,21654.645759387517
2023-02-01,6920.842138045906,-9602.978823847821,22873.817917793
2023-03-01,6359.030001193706,-9496.621720623032,21532.304849094107
2023-04-01,6058.012513851018,-9191.122323499954,21268.268944461728
2023-05-01,5145.431196555213,-10983.232861963183,20671.91039836801
2023-06-01,4568.6267247653805,-12506.179516558375,20900.519983644386
2023-07-01,4429.45259623252,-11622.116299632287,21330.620042773684
2023-08-01,4822.477675043225,-11985.714816173302,21112.319474310945
2023-09-01,4396.241351855306,-11742.81401205782,19809.780720798204
2023-10-01,4041.726025221456,-10873.51106981865,19777.877672637693
2023-11-01,5003.866391247704,-10917.390909134443,21115.101586376008
2023-12-01,6051.907036276971,-9010.802879811543,20819.650747898108
