ds,yhat,yhat_lower,yhat_upper
2022-01-01,5016.515373893184,-3850.105265514472,14407.995907105435
2022-02-01,5064.789562691206,-4409.655253722279,14328.394158748708
2022-03-01,4692.370015522378,-4485.90665513998,14093.740686421761
2022-04-01,4552.952395379893,-4833.453831492127,13125.341773111453
2022-05-01,4136.185335025746,-5070.215626155448,12368.411740633288
2022-06-01,4023.071127269328,-5551.815921043901,13254.716018634132
2022-07-01,3925.7260635199964,-5321.492233595964,13288.243793628464
2022-08-01,4129.2646715682295,-5067.365376015716,12575.633813368579
2022-09-01,3983.9054932870667,-5896.73568973396,12953.137214221326
2022-10-01,3821.634709317076,-4692.713028647217,12997.705621807518
2022-11-01,4188.644180000875,-5466.886133528729,13055.637377062583
2022-12-01,4687.236037208363,-4717.322266895596,14305.24498646307
2023-01-01,5379.752809101516,-3381.35087691407,14716.154666651246
2023-02-01,5437.219618313426,-4051.5201651275934,14505.676639149417
2023-03-01,4886.974850770828,-5132.126117981715,13294.91025563975
2023-04-01,4869.903730990174,-4161.514695881124,14701.110877289155
2023-05-01,4475.252870729408,-3799.5000304826526,14361.523364239512
2023-06-01,4348.773108878874,-4435.641998456053,13931.77995523467
2023-07-01,4248.238749752235,-5374.450608811628,13319.286727920487
2023-08-01,4452.5492920761535,-4590.457138077271,13218.581236962007
2023-09-01,4268.208735826785,-4806.907683146995,13754.6734849931
2023-10-01,4128.0619936504,-5472.961483700776,12826.530699609642
2023-11-01,4445.705683706624,-5174.575086040607,13561.148144512741
2023-12-01,5013.245004508108,-4315.062433837649,14419.752247527502
