ds,yhat,yhat_lower,yhat_upper
2022-01-01,12086.589925287932,-82994.77576586444,107129.54991710838
2022-02-01,11431.768186894298,-89187.00664634503,112833.05436894542
2022-03-01,12011.834652347014,-80210.31217505125,108846.46919155338
2022-04-01,11459.914651478373,-81692.95932453511,105300.07843520858
2022-05-01,12167.934975260812,-84811.41724784633,110341.17542968706
2022-06-01,13159.571465613737,-87732.55959720271,112270.64646930799
2022-07-01,14486.301722699747,-86699.42793928128,107905.41864410613
2022-08-01,15188.116170081346,-83352.13799107603,113343.1157595881
2022-09-01,13475.132168461989,-83697.853549236,109491.33454577946
2022-10-01,11709.756048204054,-95470.01444284474,106844.09182180425
2022-11-01,11452.53777958284,-87139.25395999812,103852.07684533576
2022-12-01,12321.131173840378,-79587.62751880294,104924.52875535475
2023-01-01,13703.800962800062,-84777.54009779132,113308.09182609586
2023-02-01,13157.42753878994,-87292.09088088853,111050.77714192044
2023-03-01,13231.637733266849,-81517.52649341371,107186.75429220035
2023-04-01,13055.550429540912,-83392.10340766175,113686.34587403282
2023-05-01,13957.911100793466,-89120.07502307268,111142.37011878566
2023-06-01,14762.395747537917,-85853.47517135112,118883.9802758099
2023-07-01,15955.171378233015,-83427.40165193933,111711.5574511321
2023-08-01,16568.260412787105,-74431.2980044957,114285.47626505526
2023-09-01,14929.85861409297,-79123.40504154541,108804.55573227994
2023-10-01,13553.839290127538,-86657.54762442125,102815.97606867632
2023-11-01,13045.326378057718,-78562.79460435382,109959.93253663731
2023-12-01,13697.464645039856,-80441.54190430534,111098.17492683754
