ds,yhat,yhat_lower,yhat_upper
2022-01-01,3681.193776639012,200.85707550965517,7129.276213385734
2022-02-01,3818.604011301068,528.3002627189328,7510.237184863347
2022-03-01,3656.024238160747,135.2299417958863,7036.064543833994
2022-04-01,3436.9858266115534,-50.02869415220224,6867.082353184362
2022-05-01,2987.602037387541,-417.7816498277136,6410.946195591011
2022-06-01,2697.150836000256,-726.672689789585,6068.791474621173
2022-07-01,2524.4081278854433,-992.1428241417912,5779.895216438333
2022-08-01,2644.2246141212427,-955.4664271611947,6316.295783330082
2022-09-01,2634.3919838667725,-701.6636210679773,6119.908981228942
2022-10-01,2580.1918393665246,-742.1835870854684,6079.944584873647
2022-11-01,2861.1844621257324,-649.451293377916,6347.108340264503
2022-12-01,3381.9238346863867,-398.18277440310663,6980.3181714791845
2023-01-01,3925.116587998831,515.7582924124566,7470.511671367199
2023-02-01,4028.994787514491,421.5290699478652,7277.338968455573
2023-03-01,3865.861812596006,537.8390315253239,7271.089136958359
2023-04-01,3666.8236276079137,338.16229456595795,6816.610792271953
2023-05-01,3229.659544900238,-319.00370902655374,6599.280601517528
2023-06-01,2911.8560393448947,-492.98225086603543,6433.737113565461
2023-07-01,2759.1593588572696,-616.9849871302473,6152.287052006099
2023-08-01,2866.4902953638243,-693.6355654248075,6419.2963754032035
2023-09-01,2836.1169087055537,-577.2283546345473,6081.146436096621
2023-10-01,2811.7278362116786,-603.2989697109194,6394.295664178282
2023-11-01,3079.581632346476,-487.958006132665,6568.819545576053
2023-12-01,3600.0535784294493,272.4933507314974,6972.562001104081
