ds,yhat,yhat_lower,yhat_upper
2022-01-01,8463.426098849826,-17660.27778268571,35921.817777871634
2022-02-01,8514.138674350397,-17164.394975585834,36075.21672290398
2022-03-01,8193.781047709434,-18139.038001900833,35762.9945645789
2022-04-01,8215.498094065326,-17183.36025785484,34750.12320142333
2022-05-01,11039.004802458378,-14948.646422198444,36690.25687256473
2022-06-01,14843.919945093194,-12554.2140467684,42008.5484271131
2022-07-01,14362.309563620955,-12095.905222855266,41645.212226757525
2022-08-01,15540.581190506407,-12421.964710345379,42117.793098960006
2022-09-01,16073.099568703394,-8977.795471644118,44839.716109123765
2022-10-01,15543.532889990334,-11275.577020298564,41947.92843851036
2022-11-01,13378.464193453354,-13955.497412292358,42362.141595053974
2022-12-01,9592.076002586025,-17201.725267402162,35470.16255196385
2023-01-01,9502.920378782812,-17193.93097977525,36340.271837293396
2023-02-01,9504.113147802285,-16139.344610470465,35797.981189364364
2023-03-01,9298.617827925686,-17595.19958199999,33431.2439824711
2023-04-01,9273.728232949428,-17546.25650094679,34870.04374601786
2023-05-01,12044.358272943373,-13733.852586282183,38368.04018988103
2023-06-01,15826.325441086654,-10099.429330035606,42207.86359298672
2023-07-01,15460.418894184964,-12097.639951830024,42004.11690696348
2023-08-01,16738.677601760515,-10590.483979536752,42200.882505017915
2023-09-01,17080.36619881444,-7600.483188862419,42831.38836920215
2023-10-01,16531.520023051013,-9325.069503614626,46450.06376699713
2023-11-01,14356.147345021562,-12091.280751191522,41361.19837392527
2023-12-01,10883.02659795312,-17218.622724848712,37923.31506871611
