ds,yhat,yhat_lower,yhat_upper
2022-01-01,14026.918159219422,-33577.86073578033,59400.82439011972
2022-02-01,14146.03407283518,-31180.69265664548,60672.45861179435
2022-03-01,13413.022222237929,-35797.23319509518,61124.37853710759
2022-04-01,13360.372772673853,-32165.61842831407,63050.228288759405
2022-05-01,12472.132564338226,-34105.84327126633,59390.12774403068
2022-06-01,12435.467960275579,-34735.52331275189,59654.00489263893
2022-07-01,12637.056552104255,-36740.40045755547,58493.89591218283
2022-08-01,14960.641986485407,-29659.008083011846,65135.15565962561
2022-09-01,13350.427744102904,-31090.63554288065,64342.72936941953
2022-10-01,12022.105760482818,-35563.89646277215,58360.256238603346
2022-11-01,12392.571916124232,-33857.670968884435,59690.42971285673
2022-12-01,13107.920501695105,-34108.958322626575,57765.873630564674
2023-01-01,14145.691854817196,-30335.775101829324,60458.7411911461
2023-02-01,14296.819601948522,-27868.36671227123,64706.29164065534
2023-03-01,13555.160662462715,-35635.07020715099,62759.08980190202
2023-04-01,13613.50752581096,-31440.150052619436,61792.25635030995
2023-05-01,12663.130809144064,-32307.586218468492,60737.21662259233
2023-06-01,12462.808330675949,-34033.80493977947,60035.015056721095
2023-07-01,12543.340137124876,-34915.95523898758,62827.51398062614
2023-08-01,15146.280783215963,-33138.63988303086,64072.74804532621
2023-09-01,13574.6056872237,-31535.546301866543,60254.56758051038
2023-10-01,12418.538948308418,-40062.95728341314,59665.888507129064
2023-11-01,12367.627211963823,-34706.55337788882,57879.69971051426
2023-12-01,13084.990122570005,-33152.479440853334,60822.17715683029
