ds,yhat,yhat_lower,yhat_upper
2022-01-01,11789.076539229412,-34698.32679988704,54133.324371263145
2022-02-01,11592.946067082661,-33165.401559934384,58135.549633263305
2022-03-01,11117.77942176708,-36185.78535202809,55902.91714093025
2022-04-01,11200.385307814646,-36442.66919451175,56529.63722849405
2022-05-01,10747.121277097334,-33859.75410108727,55401.254949855705
2022-06-01,11363.945620817574,-34191.182359969906,55133.56006002297
2022-07-01,11377.4424850016,-37401.42490757178,55733.38783996777
2022-08-01,13009.3492326911,-32869.439576787874,60350.343759577576
2022-09-01,11297.482399519913,-36729.94100236325,55453.930440007665
2022-10-01,10176.90842402086,-33269.55166015709,54514.344008078515
2022-11-01,10780.70869101167,-38426.079181483416,57224.680294567836
2022-12-01,11546.380798805065,-35097.555301199776,59999.510092951525
2023-01-01,12540.073042718832,-32761.38560402241,59023.91132651012
2023-02-01,12562.987522529827,-33597.352953688795,58147.689760691464
2023-03-01,11331.309147623593,-31751.640681587804,54218.23220440957
2023-04-01,11813.19719240038,-36902.37035624059,60772.95922445376
2023-05-01,11440.929785206456,-32985.77962920051,58133.02943231841
2023-06-01,12006.542504306453,-34774.33764142436,57046.95194778096
2023-07-01,11866.057892698685,-35789.21320723492,56543.297017846584
2023-08-01,13504.319067144606,-29976.561804124925,57620.592389499994
2023-09-01,12058.548580175786,-31533.24499594014,56597.2762437341
2023-10-01,10990.527716860663,-33310.32650875759,56239.458347136926
2023-11-01,11094.416150016568,-34651.03524774663,55599.78303335484
2023-12-01,11933.165312724666,-37467.93409323363,59690.639649751756
