ds,yhat,yhat_lower,yhat_upper
2022-01-01,14460.210249359976,-50672.82529044786,79956.92613502257
2022-02-01,14530.521336675665,-53538.81542417258,81389.61841455425
2022-03-01,12700.739351387292,-54937.95392547628,79228.94285772029
2022-04-01,12153.013885509203,-52098.129661699735,82302.89153062573
2022-05-01,11758.32879999798,-57162.58087750562,85272.63518032167
2022-06-01,12496.527803335282,-61113.039518198624,79744.30025916375
2022-07-01,13056.284859976337,-53160.48792152671,78829.57619496845
2022-08-01,15054.509253875793,-53163.98951290926,81799.90540801892
2022-09-01,13353.044940793816,-53801.11506490953,83422.6278760813
2022-10-01,11353.251460124397,-57174.90668045719,77095.72676320383
2022-11-01,11648.556209712078,-56586.76884707554,83279.58011683084
2022-12-01,13064.972722509787,-56546.06263711354,80954.06060618757
2023-01-01,14826.591461053384,-53458.99989790568,82190.4688910198
2023-02-01,15015.725222196059,-51583.35113513934,80889.01730978175
2023-03-01,12792.945615725523,-62038.68549585619,77638.07305464466
2023-04-01,12339.87658419486,-53684.3374664765,76273.3319794262
2023-05-01,12178.74592299233,-51818.721385753684,83379.77253172506
2023-06-01,12714.41735600339,-54956.98274144544,80436.66543983735
2023-07-01,13267.863504407327,-57381.27802293231,80964.98775038973
2023-08-01,15441.716040976204,-51511.1559752864,82417.83290059087
2023-09-01,13622.049591932038,-52102.27969334974,78977.51256600443
2023-10-01,11689.347428494166,-59463.524243322536,81047.2105064532
2023-11-01,11761.249464351771,-54803.084426967405,84192.91995993773
2023-12-01,13270.840756746054,-56751.035190660674,84797.39714565367
