ds,yhat,yhat_lower,yhat_upper
2022-01-01,5071.9420790778595,-9023.237429007078,19793.19952002894
2022-02-01,4957.369320579913,-11298.054152304898,18867.56094222504
2022-03-01,3862.2084133918247,-11375.77666984849,19510.52376995655
2022-04-01,3405.1396009898235,-12521.885479241415,17417.269792049367
2022-05-01,3071.5324996409654,-11674.176814538232,18454.510435966105
2022-06-01,3381.206049073675,-10507.325363341852,18747.193675005423
2022-07-01,3814.3316595382216,-12605.291033387039,18238.34002659089
2022-08-01,4665.183137193965,-9873.863762359157,20387.740151288206
2022-09-01,3850.77502315981,-10657.452743262817,18160.446926486118
2022-10-01,2990.5345558527074,-11492.515755085393,18104.625214572792
2022-11-01,3276.9622040548134,-10891.955180874162,18223.16188985834
2022-12-01,4313.57719600888,-10917.866433503257,19708.661244221737
2023-01-01,4881.523788830942,-10358.413474165824,19877.753470557735
2023-02-01,4808.009959760276,-10271.199120159392,20240.78173583746
2023-03-01,3704.0091264143944,-11268.87111989298,19321.61898502618
2023-04-01,3291.001431092698,-11865.021378777536,19009.822254067793
2023-05-01,3002.0207216419435,-12651.619530853393,19229.11165806063
2023-06-01,3189.7442006351394,-10852.290417689974,18983.88822117329
2023-07-01,3614.457215597356,-10909.382149914523,18234.66261759968
2023-08-01,4581.966671434205,-11220.078646430855,18632.210661886118
2023-09-01,3662.3874378197597,-10918.77585551181,18384.444971400877
2023-10-01,2872.9086235065215,-12636.271355908775,17729.494809874217
2023-11-01,3141.3309799609324,-13312.613487552908,17557.46860927295
2023-12-01,4207.415815088238,-11227.34087380199,19198.056016968865
