ds,yhat,yhat_lower,yhat_upper
2022-01-01,5269.2428008537145,-10180.117458348264,21575.867897978096
2022-02-01,5077.566721469882,-10461.808133991326,20894.46773465409
2022-03-01,4827.043230653157,-11303.752993360371,20983.413653856813
2022-04-01,5020.772944941896,-9805.852558384724,20870.599734491654
2022-05-01,4669.0079256971785,-11405.021055138302,20516.59064910336
2022-06-01,5061.192989728217,-11293.935756155624,21458.798403412908
2022-07-01,5145.424952642274,-10446.29130476095,21070.98180895579
2022-08-01,5932.741013465934,-8798.948525439357,22469.7676042793
2022-09-01,5368.0178271509485,-11023.752617952967,21645.24657592601
2022-10-01,4545.501008678364,-11601.48024958746,20305.113651981654
2022-11-01,4546.741283511412,-11731.834396952197,21545.785613362492
2022-12-01,4919.397743921746,-10364.327349484902,21197.950514838685
2023-01-01,5458.2852203158045,-10863.656427935955,21016.417394365784
2023-02-01,5404.330837410275,-10770.43133916216,22228.171001013125
2023-03-01,4720.641230874332,-11818.738634875286,20401.78987376438
2023-04-01,5115.880237320834,-11477.984751896225,20747.029185359286
2023-05-01,4793.522418822027,-11733.863122741597,21255.495101061442
2023-06-01,5174.983140125201,-11662.933555440735,22364.83966615898
2023-07-01,5242.455980728833,-11157.54170975521,20418.533259200467
2023-08-01,6102.713582377625,-10640.247519943374,21526.114479402208
2023-09-01,5488.487265885038,-9927.515206374814,22075.509856889636
2023-10-01,4666.395655864161,-11443.050369646546,21258.05268792769
2023-11-01,4533.491170800273,-11908.352621488159,22792.609640650448
2023-12-01,4965.281831644797,-10980.525082580249,21501.870331735838
