ds,yhat,yhat_lower,yhat_upper
2022-01-01,4951.302650860604,-23961.790553090927,33334.33644657396
2022-02-01,4825.799765649954,-23105.51467872883,31144.07524818445
2022-03-01,4179.669702755091,-23249.79970344525,30807.417916189406
2022-04-01,3716.496360638606,-24704.091066130357,34764.220734649614
2022-05-01,3282.783848250424,-24974.806193176137,29080.768796877786
2022-06-01,3485.6483388554366,-24106.560214591012,32040.442793151895
2022-07-01,3605.6886505155,-23201.40574504912,31212.712447343576
2022-08-01,4316.623122164737,-23868.304813568375,31739.896972660837
2022-09-01,3558.5086744641,-24469.94308533482,30920.562178090233
2022-10-01,2906.2286378330173,-24481.682220790022,32010.946398782788
2022-11-01,3185.302441251183,-24759.431336606503,30846.959556221846
2022-12-01,4087.6460896868116,-22783.825805108623,32096.619345789502
2023-01-01,5149.3289424093455,-22688.763045578144,33133.24733167742
2023-02-01,5024.573097147447,-22596.07219559057,32788.905311230345
2023-03-01,4196.859706627435,-22658.119629324905,31333.49919123726
2023-04-01,3897.1350423783647,-22521.171888450568,31747.620931533955
2023-05-01,3441.3827975714694,-26367.920183994698,30541.811345239057
2023-06-01,3574.090936619947,-22259.911403296683,30374.21089150168
2023-07-01,3727.5473842509186,-25736.236990436493,32521.019400886624
2023-08-01,4490.746750230345,-25216.343564385566,31802.129072745705
2023-09-01,3671.562502454571,-24775.692959048025,33999.96254888681
2023-10-01,3083.4528503859465,-25807.86137298499,32493.597971306423
2023-11-01,3246.8169229674154,-24722.644731717697,33023.181319035146
2023-12-01,4170.030427633312,-22764.626639073376,32794.667815440924
