ds,yhat,yhat_lower,yhat_upper
2022-01-01,2330.4433119815562,76.38945149346165,4583.01173649958
2022-02-01,2425.2673940718773,114.10088752625686,4670.68923379165
2022-03-01,2249.6744003300387,201.62316280711963,4465.799597289307
2022-04-01,2025.05737872184,-248.4212755358128,4289.55224184335
2022-05-01,1774.388413357851,-561.772172135277,4045.053827408525
2022-06-01,1532.854852642459,-805.9502230800546,4014.882437165258
2022-07-01,1514.735249362339,-755.5439618916627,3680.0027144724722
2022-08-01,1534.556860975872,-976.1192274995909,3730.8776833197007
2022-09-01,1450.1190975016777,-886.4726653795714,3582.956223194072
2022-10-01,1453.4609766989252,-815.6525814534446,3780.4469251219084
2022-11-01,1647.6734239246948,-499.72201207364776,4000.1347332997448
2022-12-01,1880.3484612839245,-381.2534993682195,4087.913041330527
2023-01-01,2429.2699173926776,85.92949023952464,4676.991937617213
2023-02-01,2522.0600280404483,377.25006915110816,4820.088886240649
2023-03-01,2337.6327962432188,25.43307895120492,4467.862399509743
2023-04-01,2129.5263371623573,-55.01449743985194,4476.2913639709495
2023-05-01,1876.4159279121598,-287.5940172968299,4016.4397909667555
2023-06-01,1630.2687893214932,-476.1578453016086,3852.4929109565323
2023-07-01,1607.0932743992048,-551.0576694216211,3792.359580544369
2023-08-01,1632.036788262902,-583.356747322474,3745.464016679329
2023-09-01,1552.786630808043,-690.9140960530347,3706.9904243448377
2023-10-01,1542.221672713785,-547.8250314380508,3811.575721839636
2023-11-01,1739.5278161685194,-594.4763084143742,3811.851446043919
2023-12-01,1978.3356533710978,-130.25546175919882,4369.5561700363405
