ds,yhat,yhat_lower,yhat_upper
2022-01-01,3569.3305809207563,-4613.554677205678,11598.621508238326
2022-02-01,3563.1490103635733,-5172.014819611349,11959.61551967164
2022-03-01,2883.8030827090856,-5537.06695593296,11406.363770875556
2022-04-01,2703.419032486601,-5249.094748461079,11720.316226602738
2022-05-01,2276.34794710224,-5780.396689305946,10419.16147835179
2022-06-01,2524.1924041038474,-5421.835895075414,10928.369335549158
2022-07-01,2813.03799142531,-4802.889466250662,11277.55675749933
2022-08-01,3544.442631154754,-4919.206206566272,12219.392290238931
2022-09-01,3049.780947521769,-5130.465457619724,11275.640727572158
2022-10-01,2381.4130133025155,-6645.075045467692,10175.449272064345
2022-11-01,2493.0736088833705,-5474.568302427432,10908.775192502073
2022-12-01,3119.531612595031,-5225.554615704849,11374.666027370906
2023-01-01,3578.2459533360047,-4462.623713549511,11993.712521817932
2023-02-01,3594.5654132056197,-4467.583795691906,11257.478556505306
2023-03-01,2910.8974975844153,-5545.6252815214075,11039.381956862102
2023-04-01,2810.3193390177676,-5236.477402058342,10729.798181377848
2023-05-01,2303.5203239408493,-5750.0220912455225,10552.77366381022
2023-06-01,2526.437344652914,-5760.5165043246525,10684.815074904627
2023-07-01,2817.496559824593,-5483.444524817178,10975.82106536406
2023-08-01,3670.48695462362,-4255.1219782769385,11313.936951775702
2023-09-01,3036.5630825342746,-5436.1057129217415,11278.32043019492
2023-10-01,2433.628147907773,-5297.937634343757,10777.337516763564
2023-11-01,2527.822580704041,-5543.1596855210255,10883.002229699707
2023-12-01,3185.781151403159,-5249.751039118625,11604.398272844086
