ds,yhat,yhat_lower,yhat_upper
2022-01-01,21509.454104845092,-40398.20208241573,86805.16916906586
2022-02-01,21734.79995625026,-36987.447208071004,81442.8834787091
2022-03-01,21358.389892527044,-38364.48799790941,82483.1412255852
2022-04-01,21910.10318718187,-38495.969831886774,81351.49688467514
2022-05-01,21552.3228359766,-40089.15577707277,75754.26897119012
2022-06-01,22074.667780134707,-39075.505900180644,83188.20800512683
2022-07-01,22626.49443045333,-37249.646110720605,83813.74314916534
2022-08-01,25061.879510316816,-34833.4731602276,87935.63296538251
2022-09-01,22710.53720590333,-37413.103527164705,83710.23010369328
2022-10-01,21870.29443822647,-43020.4490643655,84501.73293686357
2022-11-01,23078.78230026738,-42608.04702399283,86352.4195430733
2022-12-01,24043.039286149975,-37158.830766893014,81135.92954206358
2023-01-01,26139.577009785877,-33251.44070601088,86879.39787374916
2023-02-01,26519.066472113707,-33866.99580799521,88818.68359132741
2023-03-01,25993.0158792136,-35747.17422961,89299.69043057444
2023-04-01,26718.42064857419,-33972.87226215145,87191.81712784963
2023-05-01,26347.418344776666,-37120.72868248243,84879.59552157587
2023-06-01,26758.0398788343,-39145.88992802491,84643.40582765568
2023-07-01,26933.513900153135,-33086.3141121936,88540.6040278264
2023-08-01,29084.02592404279,-32337.044101353178,88710.18764440257
2023-09-01,27964.20017524249,-29189.37915746341,90372.79850957915
2023-10-01,27284.973971822117,-33879.355667463016,85630.7512949742
2023-11-01,27289.503704981067,-31604.7728200524,89774.49369351643
2023-12-01,28287.4961473552,-28970.610019100983,88280.74618219184
