ds,yhat,yhat_lower,yhat_upper
2022-01-01,2299.736374607395,-2021.6017844420917,6324.3902419985825
2022-02-01,2397.5756776504977,-1856.5186228440848,6447.402746210409
2022-03-01,1744.5329006968122,-2845.3158336848705,6133.632383262822
2022-04-01,1584.0621550345463,-2995.2306881299814,5698.191656946964
2022-05-01,1020.4457621799841,-3263.6708618363837,5135.337436392993
2022-06-01,737.9470381254675,-3496.252142157388,5121.636860930808
2022-07-01,724.6396735287462,-3800.3187942442187,5152.14172237404
2022-08-01,942.6562514346751,-3142.215313609726,5393.333712755829
2022-09-01,892.9721501707804,-3440.734850288966,5070.9791837879675
2022-10-01,1012.7454698354923,-3230.028147256909,5397.603492857368
2022-11-01,1595.6762552943355,-2618.7124579229835,5586.834094175345
2022-12-01,2374.343715860116,-2280.3215765378905,6166.084319895942
2023-01-01,2142.686329871465,-2088.398259935779,6677.218034958016
2023-02-01,2191.728618628742,-2227.231414226715,6404.148594624053
2023-03-01,1850.2865962234464,-2564.0329312064027,6027.841000535853
2023-04-01,1838.0865930047098,-2209.0168216551656,6229.983535697888
2023-05-01,1096.2383867127435,-3259.5227864515414,5246.849336777125
2023-06-01,710.3863353706178,-3710.8957744366194,4798.251119561091
2023-07-01,713.718140267256,-3864.364501224395,5265.93835197337
2023-08-01,962.0012237851306,-3527.7450412493486,5135.2077511996495
2023-09-01,871.4096992254188,-3475.8531623139797,4940.079406128204
2023-10-01,1039.1090171193023,-3221.6398909739496,5312.275860038442
2023-11-01,1705.6601385564993,-2444.038078454365,5911.7554130268045
2023-12-01,2693.3916846624143,-1368.789337710319,7189.2384642075785
