ds,yhat,yhat_lower,yhat_upper
2022-01-01,7057.272594363945,-4607.028698532479,17837.51115927562
2022-02-01,7092.561248220747,-3826.551900838608,17920.10554161152
2022-03-01,6135.755640891284,-5084.067579306547,17370.431363030915
2022-04-01,5877.26379875432,-5020.056618338554,16839.527363804802
2022-05-01,5190.934212307509,-6198.774023563081,16684.425154830817
2022-06-01,5107.356931552424,-6405.347004308538,16214.17316286165
2022-07-01,5258.733830494721,-6170.743503310761,16078.937182117943
2022-08-01,6017.572203806944,-5192.833361242309,16642.76147966469
2022-09-01,5449.867695110237,-5696.50571598258,16252.480446947744
2022-10-01,4976.685669706123,-6406.367450709758,15427.864679836477
2022-11-01,5723.247972435934,-5013.505448926788,16056.259214379143
2022-12-01,6567.523531547399,-4634.475897154214,17818.559013038615
2023-01-01,7493.223102567479,-2589.281522188536,17771.556646365625
2023-02-01,7524.875671292672,-2584.8255256954703,18712.71618604105
2023-03-01,6412.617869361321,-4764.944532541718,17546.16657380299
2023-04-01,6295.1052316008445,-5072.293564449476,17433.942064772178
2023-05-01,5660.601401640734,-5424.491427849237,16512.429789144742
2023-06-01,5478.997436248594,-5534.604492808305,17371.707297866862
2023-07-01,5600.207932556703,-5312.558263152299,16718.623336195127
2023-08-01,6436.203921827098,-4253.7421296818475,17269.97695779367
2023-09-01,5775.256571488641,-5815.602698411025,15926.917624676706
2023-10-01,5424.992283987752,-5479.406367289025,16768.880043968285
2023-11-01,6099.977836478513,-5421.733764746237,16940.471915664504
2023-12-01,6903.451751449216,-3958.977567901177,18681.023631282187
