ds,yhat,yhat_lower,yhat_upper
2022-01-01,6029.4077064135245,-17676.23321696745,30861.125343480802
2022-02-01,5910.427702622167,-16473.72650457107,30131.252329342566
2022-03-01,5346.669142133064,-19582.482360570673,30672.52265719037
2022-04-01,5344.021621974298,-16611.036161216234,29785.211636922573
2022-05-01,5000.949740215031,-18142.704481479785,28133.690117725077
2022-06-01,5497.457435188692,-20047.45564778692,31163.542685929395
2022-07-01,5684.005479166637,-17958.15566709665,29997.555122832375
2022-08-01,6827.571701955052,-15577.561956096946,31734.677938142344
2022-09-01,5700.182462887614,-17397.902988400478,29015.10586317733
2022-10-01,4726.584238699869,-18297.187472152702,26916.92851076508
2022-11-01,4861.133045200231,-20068.332273634183,27949.87673929435
2022-12-01,5388.392825288453,-20672.91521552812,30106.10215957003
2023-01-01,6111.05601898436,-17115.482017955106,31386.508372917953
2023-02-01,6171.794945718973,-17774.430247474338,30099.407323616662
2023-03-01,5142.774880224462,-18528.885561011146,28239.705445430467
2023-04-01,5331.788879962001,-16465.32376060206,29374.28580988066
2023-05-01,4998.672137340951,-19306.611222141375,28108.39538658324
2023-06-01,5443.91864106956,-16548.578567473603,30437.923431014566
2023-07-01,5718.758408148464,-20159.00326528344,30299.61058456488
2023-08-01,6939.303415192529,-16917.23263039317,30490.58760382358
2023-09-01,5724.664058759331,-20617.31113223638,29108.717847564214
2023-10-01,4737.363107301315,-20307.512417481183,28940.044221858723
2023-11-01,4686.3777484094535,-17098.38814481461,29450.541396387955
2023-12-01,5332.251977142131,-18406.39537904233,28779.487560547183
