ds,yhat,yhat_lower,yhat_upper
2022-01-01,6349.701172217954,-29236.727800176457,41230.08083914654
2022-02-01,6445.160643821839,-27924.584757064786,44444.335855681114
2022-03-01,5699.698969620346,-30639.288292624584,42310.31005668143
2022-04-01,5401.610816599132,-30881.59964982401,39179.210608603666
2022-05-01,4297.445556144547,-30725.640319295104,42158.84383509026
2022-06-01,4617.066005669643,-28844.482781944287,40063.42190780253
2022-07-01,4814.61715367692,-32243.502919424118,40834.30628496735
2022-08-01,5826.715155295648,-31285.4037824617,39468.526680864445
2022-09-01,5080.385558061334,-29413.571327285495,38850.25314170065
2022-10-01,4376.726965647652,-29879.87598478952,41233.210834855025
2022-11-01,4875.357963762751,-30558.305640442435,41621.57158017619
2022-12-01,5574.9532079906485,-29307.58360820911,41098.320763582946
2023-01-01,6721.505647071757,-33156.99093851561,41815.94822123617
2023-02-01,6778.976871534196,-30753.068062289556,40449.531790277586
2023-03-01,5900.029605646326,-30542.377357702102,42986.68523635694
2023-04-01,5608.3606733302,-31281.79054009989,39570.15698041088
2023-05-01,4713.71145607029,-32057.58584669965,41519.57662439593
2023-06-01,5015.20729295082,-29836.307875747585,38840.07512754708
2023-07-01,5072.766067271151,-30229.422942275538,42552.797539270716
2023-08-01,6074.071481404778,-29333.263074789207,42767.4560395358
2023-09-01,5274.686531376324,-31466.77062170377,41071.3530079114
2023-10-01,4759.736536627792,-30737.62069247611,41571.737823332805
2023-11-01,5179.977372493722,-28435.558679223504,38512.43359436604
2023-12-01,5830.771453293398,-28249.818315028548,39874.306985586474
