ds,yhat,yhat_lower,yhat_upper
2022-01-01,13206.447086832737,-62949.86206779526,89144.08263359281
2022-02-01,13200.764155080307,-70439.1331435913,86207.99217501037
2022-03-01,12463.853547651011,-63054.248891261894,91676.22679084506
2022-04-01,12280.401938451128,-69701.58594510409,85415.76220404729
2022-05-01,11244.88578443457,-59217.11762311712,92526.1035773074
2022-06-01,11808.309171279237,-68299.94937821665,89452.39334223507
2022-07-01,12287.707750091151,-61673.51799064337,94861.78912879177
2022-08-01,14608.44695326807,-68031.63291013609,87354.02113541901
2022-09-01,13034.332926638788,-62476.37059182533,87679.061150036
2022-10-01,10822.025421917178,-63334.09777487812,90839.82095408154
2022-11-01,11082.120156481944,-68456.40923575836,85500.26544037646
2022-12-01,12350.214748660981,-56968.05097007019,92470.32188791709
2023-01-01,13617.785378287284,-64137.17831995973,94114.16254677407
2023-02-01,13959.93012082366,-60809.71673965353,90266.62699219436
2023-03-01,12536.478090897679,-63343.58974467445,92986.29242353661
2023-04-01,12634.447390451942,-64713.78088199912,89350.72615555277
2023-05-01,11534.92783822719,-69113.25924522322,86258.4499407143
2023-06-01,12022.689080296177,-68062.25674816272,86655.99737550702
2023-07-01,12562.123369072126,-66166.8753819781,83865.45053850491
2023-08-01,15198.958738335696,-59762.22268593282,93811.14674057947
2023-09-01,13538.48601689486,-67776.5549750952,84927.25509886774
2023-10-01,11151.387924905524,-69761.27942123862,90218.64565582284
2023-11-01,11059.417418925026,-65341.02149593065,81034.18342125854
2023-12-01,12594.006815397133,-63943.95347222981,90230.6435136484
