ds,yhat,yhat_lower,yhat_upper
2022-01-01,40318.30454853842,-66494.08046423929,148826.38671008963
2022-02-01,40410.533506053594,-73191.75859401295,158582.98263841073
2022-03-01,39086.86103342476,-75537.9440727426,156550.45528593558
2022-04-01,40536.797258936575,-72270.09630388641,151519.86416571532
2022-05-01,37487.3258505508,-74778.0156350998,148484.00891627726
2022-06-01,38968.91562042835,-74277.94533362599,153392.9684106266
2022-07-01,39504.94653761173,-66657.6905203123,147002.97337164017
2022-08-01,45243.29698601331,-69804.36557423921,147771.75019487916
2022-09-01,40485.615441709146,-74390.05603578292,151756.75155681107
2022-10-01,34833.0864252239,-81187.00000520198,151532.75208064026
2022-11-01,37147.382574052004,-73345.40048796935,141802.78806346876
2022-12-01,40097.15815866979,-62823.077582242004,152441.76267794732
2023-01-01,44497.40446370937,-64391.789905485486,163028.04898717836
2023-02-01,45538.63191512542,-71913.92526746016,158032.08251078625
2023-03-01,42266.096849118934,-67013.35355930109,159852.852128114
2023-04-01,44660.72312300702,-63878.91966061016,156947.60695114508
2023-05-01,41245.96633446423,-71714.3833687774,157339.68266450876
2023-06-01,42352.90162963001,-74068.95861383315,157261.82410947958
2023-07-01,43160.727401492,-74583.82545636543,159838.4610563695
2023-08-01,49067.48026632603,-62497.622047568315,162824.88770858146
2023-09-01,45690.87802779363,-64280.458766547046,154997.61982572175
2023-10-01,39257.26445426105,-74331.69639175764,153160.00416688836
2023-11-01,39445.531980982,-70427.35814022338,153386.67324731493
2023-12-01,43352.27962509133,-66194.45056685306,156412.5591797781
