ds,yhat,yhat_lower,yhat_upper
2022-01-01,2177.869054335739,-439.48964913839757,4978.273964863692
2022-02-01,2130.3640945961656,-845.8883907111075,5137.7401234773815
2022-03-01,1916.597784542334,-756.913664066954,4803.11248035776
2022-04-01,1780.226111409753,-870.0731789310498,4516.07301031774
2022-05-01,1578.6326411385933,-1231.2260851768158,4378.127859322481
2022-06-01,1548.0344800833232,-1277.3173651381112,4061.2658526421346
2022-07-01,1583.4920461606896,-1185.3710491198801,4206.530610208951
2022-08-01,1730.6650417494125,-876.1064010812214,4595.318088152044
2022-09-01,1624.8398427265563,-1204.8925317705127,4280.664691241246
2022-10-01,1596.55881951345,-1265.4087841943026,4260.631484121775
2022-11-01,1813.8761342219832,-1077.025714743809,4690.122491901303
2022-12-01,2113.434602608229,-439.40005042289647,4866.483354681276
2023-01-01,2390.3122947422835,-239.30946676290543,5033.618951164232
2023-02-01,2381.9834490144985,-394.90238882435744,5126.522785193009
2023-03-01,2080.514444264428,-588.113213870889,4983.268684161465
2023-04-01,1992.4979346031814,-683.8395213210554,4837.158364439045
2023-05-01,1786.5881413473035,-1002.9139946777599,4439.702262952243
2023-06-01,1751.6706731172587,-978.6393367332553,4646.565216614895
2023-07-01,1796.9628945504596,-880.7330525294252,4391.729436668351
2023-08-01,1931.2796451208917,-890.0474617963006,4672.215987602625
2023-09-01,1823.0990338603701,-1008.509808829739,4368.541273847958
2023-10-01,1822.5955534524924,-943.8437554084505,4298.827483335837
2023-11-01,2003.3126547961344,-818.1654822086484,4892.051490955537
2023-12-01,2293.1436375739604,-378.1850770865172,4905.11581565067
