ds,yhat,yhat_lower,yhat_upper
2022-01-01,9440.956211353729,-73036.1460907941,90267.8695733898
2022-02-01,9081.88539837737,-74407.29984030534,91196.69141099764
2022-03-01,8415.53620036198,-79956.8383157562,97049.4141673958
2022-04-01,8340.774928432205,-76925.5771194025,92339.07117172942
2022-05-01,8787.938566214558,-75225.57931037097,92704.07723082264
2022-06-01,9596.61370898103,-71039.75269501518,94362.18649402208
2022-07-01,10471.18752710611,-74901.76719252141,88907.89187879444
2022-08-01,11773.688523549594,-73964.64861227409,94356.609756323
2022-09-01,9904.70627512354,-68179.61270737198,90066.11962789649
2022-10-01,8034.024944210275,-76841.36890981735,88992.3387899266
2022-11-01,7564.369168104164,-75857.36909728123,89451.72452217515
2022-12-01,8808.905123431108,-71674.10771697813,90921.30268613569
2023-01-01,9717.26549763035,-71345.6067240401,96081.69915426221
2023-02-01,9492.743226623814,-75797.51879377862,97356.9361790533
2023-03-01,8198.504602372648,-78926.23811986693,93237.66950365412
2023-04-01,8381.241101656688,-68758.34208553171,89415.55169533691
2023-05-01,8889.541082932788,-73934.06138438385,89346.43957012465
2023-06-01,9553.60410320891,-69906.54304938207,92038.96646399517
2023-07-01,10717.642068839445,-69910.50603905454,92314.19435625873
2023-08-01,12073.485038537825,-68033.88391292738,100574.6902838659
2023-09-01,9963.21329323851,-67641.05302693397,86221.3774335793
2023-10-01,8013.324862354153,-70853.51951058743,95842.45274791314
2023-11-01,7468.8170946064765,-74668.4290460677,85509.25688579021
2023-12-01,8861.564204228,-77760.27618624378,95934.37685164194
