ds,yhat,yhat_lower,yhat_upper
2022-01-01,13498.368166525717,-91661.31294033866,107873.46651949307
2022-02-01,13545.172857785277,-73318.3987394795,118273.45676633278
2022-03-01,12761.972236731015,-90248.28758655538,112330.890702271
2022-04-01,13101.55458894614,-80197.12197806367,111903.4527214494
2022-05-01,12188.380986661294,-85805.1446295533,107312.49501875303
2022-06-01,12241.648171774163,-88589.438807251,108123.173871989
2022-07-01,12747.768478349863,-85014.81741663531,109552.62637966416
2022-08-01,15479.97121487922,-81164.93413565285,117303.14691843433
2022-09-01,12704.880630420244,-91643.6129206969,112590.40735108391
2022-10-01,11412.746646638492,-91775.65286798403,108262.1292131843
2022-11-01,12177.837311790165,-86598.30218842415,109827.14269389164
2022-12-01,13025.802020011886,-77742.93471024641,111281.6762145746
2023-01-01,13549.260786849227,-87954.45684771157,109155.64495351414
2023-02-01,14127.45840611016,-84088.95588337308,115299.58294987508
2023-03-01,13184.901634790825,-82260.27109540877,115266.60122016034
2023-04-01,13629.399799476507,-76990.26301290248,117708.83893309263
2023-05-01,12551.119080878538,-85237.5612268086,109259.15890687097
2023-06-01,12186.722584349036,-89128.42698339761,111389.70637025802
2023-07-01,12778.25591173646,-86173.73388099323,108266.39732170431
2023-08-01,15907.46124586399,-79941.26187881414,113150.0469115016
2023-09-01,13595.635948326737,-85840.93571195388,107696.98780136494
2023-10-01,11959.630416926382,-83430.51875494375,105388.46420448861
2023-11-01,12087.60016358359,-86389.88181220595,104815.10473335412
2023-12-01,13234.414510848128,-79716.58096053169,122034.64763573912
