ds,yhat,yhat_lower,yhat_upper
2022-01-01,57284.097369689975,-82601.86907003644,216686.44369703374
2022-02-01,56610.69151067324,-95090.91481064954,198007.8222007108
2022-03-01,56315.717911370266,-78904.84178717365,209844.38114175378
2022-04-01,57484.00903926226,-91041.91728910178,209733.79052963472
2022-05-01,49474.09279107049,-94759.0471612785,199062.927990006
2022-06-01,50332.34467984235,-90843.07389948092,201611.956534831
2022-07-01,50089.32974784606,-92642.67644186353,201495.660343097
2022-08-01,48729.580464021376,-102108.2234246814,195453.4217494233
2022-09-01,43567.903491932535,-96604.70410865851,189239.646751887
2022-10-01,42981.46848604718,-96869.38718428503,195814.02618801768
2022-11-01,44867.26316052918,-98831.03421716431,191605.81904764974
2022-12-01,48349.78328867733,-96406.75375997239,191512.425769723
2023-01-01,53251.048361516776,-98713.6903991961,199449.5902932962
2023-02-01,53758.55318935302,-87864.64157226308,186440.48793388915
2023-03-01,51534.766498821344,-93448.8903254878,195110.1400550054
2023-04-01,53919.41908697918,-92355.3220838217,195903.47187223166
2023-05-01,44380.33650200184,-101524.090018845,192777.43971208011
2023-06-01,44340.50989771635,-103244.01249197523,186907.05539133662
2023-07-01,44672.41272892455,-103675.79864539589,192907.00134919156
2023-08-01,44540.16327219181,-104105.16574532785,197328.2341025105
2023-09-01,42822.22089179787,-109795.62913888725,196886.81397316325
2023-10-01,38739.45271763152,-107570.59553917947,181582.19433234367
2023-11-01,37515.787556469644,-121773.85292551611,171729.94734448104
2023-12-01,42471.55014478609,-93872.6219819099,194808.97650323153
