ds,yhat,yhat_lower,yhat_upper
2022-01-01,78835.26119313674,-156129.00354590866,322711.49235693197
2022-02-01,77123.34711442453,-174696.8103326353,317425.9482630678
2022-03-01,70087.06035134639,-182870.61636667047,312281.98289735685
2022-04-01,67686.27972165252,-180438.84533943146,320654.3475819455
2022-05-01,64667.669707097295,-183689.70265743462,312453.5529862022
2022-06-01,71274.1756064457,-163262.76508561277,317985.17889482464
2022-07-01,78952.75210044743,-175769.47727058927,331375.935476658
2022-08-01,89368.93958721844,-145846.41536550806,344506.77369657997
2022-09-01,78370.10879106367,-148417.35076887955,332743.530936462
2022-10-01,63767.95071895108,-184907.63697134535,317097.9844432782
2022-11-01,63492.48003742057,-190421.33270985514,298080.3734804208
2022-12-01,71209.03896804093,-162277.54356112517,331666.50960851234
2023-01-01,80666.19021769548,-180526.7373743197,322272.366105416
2023-02-01,79973.90592036479,-157717.3547136825,339802.9597411401
2023-03-01,71563.35577925584,-181957.3933041294,296523.2944345084
2023-04-01,70407.86434890098,-159502.52207346808,315182.73116051446
2023-05-01,66859.65294388466,-183567.84178512587,321918.08343031653
2023-06-01,72142.70671669557,-171239.4532520075,349365.13929189125
2023-07-01,79647.73271619935,-173412.02294241908,312147.25874262926
2023-08-01,91496.5655409554,-153311.37831761804,317972.2688203738
2023-09-01,81960.27723918272,-161527.992567203,325087.0379389035
2023-10-01,66769.0243898093,-174706.14998130949,332766.91936658387
2023-11-01,63865.496127400766,-162930.25571403772,296710.9269178905
2023-12-01,72185.42103856825,-151852.65118850133,311773.6901560186
