ds,yhat,yhat_lower,yhat_upper
2022-01-01,4052.256898403666,-4783.319364690719,12903.254083982714
2022-02-01,4090.769048547911,-4515.208270271143,12332.841353389591
2022-03-01,3755.7529025309655,-4570.197377835976,12777.21399376487
2022-04-01,3668.540230587504,-5537.91530148001,12532.481011242688
2022-05-01,3249.211897699953,-5249.087400950642,12167.656878888616
2022-06-01,3392.3775013844643,-5197.7569800999745,12314.924035888396
2022-07-01,3610.846947425103,-5067.187973482158,11745.526035751294
2022-08-01,4405.780501171477,-4515.5615345495335,12510.966192179267
2022-09-01,3972.6214592430692,-4533.752079861099,11982.276409079128
2022-10-01,3202.8940635175404,-5132.750914451602,11422.997913694087
2022-11-01,3333.6592658293007,-6026.620976664365,12279.24341323564
2022-12-01,3734.904236005698,-4945.039216196054,12412.665757643032
2023-01-01,4287.122303100014,-4621.481505732544,12917.79180004231
2023-02-01,4471.204202287039,-3741.4193317021864,12639.624457546353
2023-03-01,3897.2505194590726,-4661.648947099987,12047.992233515182
2023-04-01,3894.2964393481807,-4953.646413756374,12360.744379879301
2023-05-01,3485.1974545940875,-4935.728216793147,12026.48217993637
2023-06-01,3612.5961307086577,-4862.837200188214,11771.158531532867
2023-07-01,3843.055900539865,-5044.601613157303,12206.255156272666
2023-08-01,4712.053991431488,-4838.471064056974,13281.852364038108
2023-09-01,4187.790593811659,-4375.825657119494,12521.7378625252
2023-10-01,3466.103039759226,-5436.72206859739,11694.014527324707
2023-11-01,3500.252833759443,-4926.079453062389,11783.434016513469
2023-12-01,3940.407729942677,-5410.501796485382,12881.344889736092
