ds,yhat,yhat_lower,yhat_upper
2022-01-01,15464.97994076389,-39459.95376887179,69446.02983967193
2022-02-01,15500.00080531018,-39903.29020187811,65754.42719029433
2022-03-01,15161.204782805245,-35340.53565034886,67238.7198350223
2022-04-01,15531.11184207644,-39636.16118150501,65914.70935214999
2022-05-01,14474.971345889971,-38404.72970803449,68856.00178373627
2022-06-01,14769.98586327401,-36868.34798064039,65793.41158660826
2022-07-01,14817.084252475135,-35501.30548288033,65911.94942023607
2022-08-01,17288.40126867181,-41181.15877828592,67690.49512209836
2022-09-01,15327.540099699592,-33880.72473293898,71498.2572574834
2022-10-01,13288.935405859493,-38748.337086660824,68512.51616771286
2022-11-01,13845.68923497862,-37531.28153629784,66069.28686566498
2022-12-01,14900.113738696113,-38539.70992499843,66583.03816181081
2023-01-01,16557.605212259536,-38279.8880302598,75412.89815832014
2023-02-01,17122.0530308494,-38000.71474474264,70261.55015699251
2023-03-01,15647.388275781326,-39529.65426843591,67318.0321695496
2023-04-01,16427.7483014056,-35793.541151711535,68484.98144087782
2023-05-01,15383.534076362888,-36421.89821140278,69554.86333821967
2023-06-01,15508.837487287414,-37959.83526966627,68604.32987738
2023-07-01,15740.503576025849,-38502.93507251514,68840.86740015246
2023-08-01,18380.447039762985,-35482.36062029687,71919.11672093868
2023-09-01,16606.66876860937,-35365.00455286579,69795.327702983
2023-10-01,14307.816194576193,-40353.01763273007,66565.47331787873
2023-11-01,14167.069740103245,-39778.649250820316,66061.06687102537
2023-12-01,15592.26591269881,-37874.02398698023,68226.01516200021
