ds,yhat,yhat_lower,yhat_upper
2022-01-01,4194.050424034349,-6063.5993968077155,15802.005013210688
2022-02-01,4104.669845477378,-6629.349562497438,15205.556981578024
2022-03-01,3644.482525569489,-7092.741037040601,14746.614616578938
2022-04-01,3198.3709439003346,-8029.360186388158,13911.305429911852
2022-05-01,2541.390720533394,-8639.128363655054,13544.054810117792
2022-06-01,2107.3014560946885,-8879.422298681193,12856.128075357881
2022-07-01,1971.7927985356823,-9491.74666248771,13475.853196437265
2022-08-01,2152.328002465917,-9495.515436714188,12923.627557113216
2022-09-01,2025.9179490987424,-9389.166576359472,13389.54627657476
2022-10-01,2337.245839427518,-9397.570561460487,12637.83893611553
2022-11-01,3158.694603356469,-7561.084135604298,14412.140693909576
2022-12-01,3823.0787659271246,-7069.3709594599895,14537.670182928478
2023-01-01,4413.093053197932,-6521.240890429166,15608.300743181391
2023-02-01,4307.413624232935,-6807.873294537569,15948.752291454239
2023-03-01,3830.837605753513,-6739.336273090604,15002.878291318882
2023-04-01,3412.3876717335943,-7080.187432763458,14019.175100634217
2023-05-01,2746.384322796716,-9207.025035056156,13457.34148570921
2023-06-01,2315.854967181965,-8799.15142076257,13407.515982664492
2023-07-01,2171.5626308936717,-8587.23252189405,13449.112160431341
2023-08-01,2347.4715335710034,-8216.283894891016,13836.414904953836
2023-09-01,2218.1166842425846,-8835.505554595076,13688.604243057618
2023-10-01,2543.427824441774,-8443.560874870323,13743.50191818242
2023-11-01,3349.8745443191506,-8194.454181837578,14373.675109509119
2023-12-01,4005.901360422982,-7508.035701983222,14541.428040028994
