ds,yhat,yhat_lower,yhat_upper
2022-01-01,9307.918512898274,-6933.669188197006,27152.296824201658
2022-02-01,9429.64887610357,-6928.6510644260115,27835.781403685683
2022-03-01,8714.477323858939,-9033.791533592868,24858.622217043467
2022-04-01,7555.229554655983,-9948.504629485733,22908.274120266535
2022-05-01,5805.282203274923,-11412.580028512359,22196.6011902606
2022-06-01,4817.9510194210725,-13470.347614050079,23361.507425813095
2022-07-01,4515.5178945319585,-13361.04723477589,22604.35053982267
2022-08-01,4563.842226762676,-13867.230100153614,21844.287665431002
2022-09-01,4388.7042353903435,-13230.195256590738,19666.928373947885
2022-10-01,4932.420753106631,-11893.332918200182,22990.02710827941
2022-11-01,6880.175651708297,-11033.15178416124,21897.02566111462
2022-12-01,8571.423463371351,-8752.205516096059,27306.486736552986
2023-01-01,9758.875186359632,-6259.948023908196,27270.424806260344
2023-02-01,9854.895966445956,-7888.536843045728,26483.719845438336
2023-03-01,8846.350212975673,-8447.196359839387,25432.1171161474
2023-04-01,7920.557928626642,-10432.863509977156,25795.706753051556
2023-05-01,6214.807062607818,-11308.75151744726,23084.046835124922
2023-06-01,5176.166770525421,-10640.34368879676,22863.318276394053
2023-07-01,4843.2655694125315,-12867.048584800576,22787.811648730745
2023-08-01,4907.952642751979,-12040.262389907602,21976.58709631209
2023-09-01,4693.272963997859,-11373.921794380718,21792.401106678695
2023-10-01,5248.0328910283515,-12122.968837447954,21255.752707414988
2023-11-01,7150.527777319959,-10353.530083738253,23564.64934408037
2023-12-01,8870.166894919497,-8729.222423501778,26548.135173745635
