ds,yhat,yhat_lower,yhat_upper
2022-01-01,6256.6769787867615,-6721.408686594219,18257.046514344267
2022-02-01,6261.05502418403,-6262.9175200748205,19812.1499668914
2022-03-01,5487.078345809172,-7092.868674274736,18736.771774976547
2022-04-01,5148.05587917044,-7059.431185773031,16856.88550879087
2022-05-01,4378.540585119793,-8433.327793248118,16985.119252392728
2022-06-01,4594.2137714061755,-9149.6718436116,17255.326695307234
2022-07-01,4931.009879149002,-8442.090990119177,17175.538166508042
2022-08-01,6139.0485010309985,-7336.436184855327,19679.524497626382
2022-09-01,5349.3316742475745,-7354.227487611662,18890.10894151713
2022-10-01,4176.737234188473,-9589.03876323196,15622.663596417973
2022-11-01,4457.693761227961,-8406.030106864739,17258.639891629562
2022-12-01,5372.575383547542,-7639.6133917174075,17956.910917692465
2023-01-01,6314.0123850441505,-6123.130087165454,18097.516677276544
2023-02-01,6432.659199469372,-6458.839638026646,19170.896130813988
2023-03-01,5309.463835422975,-8136.200860185868,17828.573764720088
2023-04-01,5168.9607565351935,-7622.15920574024,17370.73901262804
2023-05-01,4388.554083041803,-8080.736988093001,16677.232649794383
2023-06-01,4572.673970809432,-8510.218543378593,17540.663283061836
2023-07-01,4922.530481177078,-8206.417419469639,17574.150061475793
2023-08-01,6254.868268058842,-6654.55735064056,18489.685382608
2023-09-01,5322.575851312982,-8367.616573343528,17718.145302784294
2023-10-01,4178.090176039469,-8909.207044896984,16621.69024809351
2023-11-01,4338.5667619173255,-8369.17807341955,17247.30375180493
2023-12-01,5365.135313866615,-7086.329258976509,18793.704370941326
