ds,yhat,yhat_lower,yhat_upper
2022-01-01,695.4481007134474,-645.0105730609341,1878.9758162906435
2022-02-01,672.7504415370621,-549.9805360179183,1978.8909032944537
2022-03-01,513.9950247581232,-847.7920533432874,1725.2660487825792
2022-04-01,470.14476115129895,-775.1454616520289,1712.924069983138
2022-05-01,353.0988272948082,-895.0193034419168,1753.7299476650417
2022-06-01,314.12358198433935,-923.9431927527105,1525.2067810562282
2022-07-01,290.7714247396415,-940.0451987490158,1526.7294292112697
2022-08-01,336.30850167570895,-940.8832072262345,1590.3585554284682
2022-09-01,291.4061069551854,-922.2905963087165,1564.1555852521392
2022-10-01,340.5100561992122,-965.3249783939492,1557.2861966917255
2022-11-01,486.29496200668177,-856.3691148028836,1745.3251141161277
2022-12-01,600.3866165131244,-608.46950242576,1970.8286923429393
2023-01-01,705.5064248499613,-497.89579910384305,2027.2795502413526
2023-02-01,670.1696113308332,-565.8101953253777,1850.3424881554633
2023-03-01,523.7221862408207,-782.9233135195906,1700.7422479265397
2023-04-01,489.8152555276338,-764.1709529555696,1741.7322104758728
2023-05-01,366.9153228229628,-879.5431781055681,1609.1103569750135
2023-06-01,320.8076566968265,-964.1129448467544,1491.3992399271913
2023-07-01,297.5905921204363,-934.0556026909866,1548.2693133835903
2023-08-01,331.86839282823024,-900.7259833473032,1660.7056819749378
2023-09-01,294.9057440166406,-978.4680748139218,1660.3081663569753
2023-10-01,364.0348232235432,-834.6069447640717,1778.9848795971236
2023-11-01,500.9638100136066,-776.457848262025,1697.9007839725498
2023-12-01,599.8921437911175,-633.9622165009483,1831.9376976203691
