ds,yhat,yhat_lower,yhat_upper
2022-01-01,40546.3201318698,-82053.19714510324,158776.66495785548
2022-02-01,40129.68147197658,-76459.33098663938,161011.20894699512
2022-03-01,38409.335100732635,-77884.98405686142,159469.2599967892
2022-04-01,38377.41902482232,-71879.16214335522,159435.97665535437
2022-05-01,35901.47572925161,-89001.71194724306,152303.7646115155
2022-06-01,38572.14628710452,-77734.12856300615,162322.60000867923
2022-07-01,39314.52388161927,-78105.27167617349,162724.9839166571
2022-08-01,47116.87856410447,-69147.01690335419,167062.2990838183
2022-09-01,40269.9914526012,-87139.48190364632,159551.19030387525
2022-10-01,32318.652649863794,-91983.53056409008,159626.20499506095
2022-11-01,33822.308415249696,-96373.42500447747,151364.56947573856
2022-12-01,36944.594631637054,-85139.04858268912,164048.9389280284
2023-01-01,42295.995397921,-80088.6809720348,165704.16049161984
2023-02-01,42770.62525724629,-74533.30883596411,168156.10112363318
2023-03-01,38140.532667933934,-83344.73435852563,158787.12008465835
2023-04-01,39297.73218431966,-71672.687756208,164632.84247867847
2023-05-01,36703.110543193136,-81544.77134244455,157963.65321482837
2023-06-01,39498.7567119252,-89521.68441418119,165142.4719349271
2023-07-01,40124.06280131741,-84598.52331768716,163265.51867229794
2023-08-01,48144.613122209616,-64973.22821610955,176281.75141711946
2023-09-01,42283.699948089954,-84575.3108713439,164094.66337938784
2023-10-01,33553.01749476891,-88396.36753774535,162592.5852415806
2023-11-01,33460.81766256693,-95535.19957128493,148963.3292917934
2023-12-01,36942.687051382294,-74663.92223061106,153231.86651752086
