ds,yhat,yhat_lower,yhat_upper
2022-01-01,9962.49891598476,-42517.95884600745,63167.77869229413
2022-02-01,9836.016024431394,-41524.18868173215,60182.80830663958
2022-03-01,8748.514004916447,-40668.52612087989,62674.16724639137
2022-04-01,8698.507757867425,-38645.75157110969,59127.11324147583
2022-05-01,8027.457598007777,-44900.339431240296,59197.92206354863
2022-06-01,8267.666964868939,-41087.64523555859,61829.960856649246
2022-07-01,8655.123620880855,-41274.90451342864,59068.28552511756
2022-08-01,10570.604186549355,-43601.315175537995,60866.46626661601
2022-09-01,8728.652835711411,-42330.98213300378,59491.74465174472
2022-10-01,7620.169832469225,-40523.37903921297,59569.49337011761
2022-11-01,8612.129530570483,-43590.83215233321,60187.13395898484
2022-12-01,9370.921837720343,-42533.844605005645,58583.45039475094
2023-01-01,10521.18236529119,-40752.92079147803,62546.72180850304
2023-02-01,10651.014641787671,-39001.49936459416,61023.02307029635
2023-03-01,9190.641154328434,-39010.75249847088,57885.93479047089
2023-04-01,9289.427575074533,-43107.29369981945,56830.06324492275
2023-05-01,8617.854159082592,-46189.508642036024,57796.81482379474
2023-06-01,8704.706982788663,-44110.173614895946,60051.94439442473
2023-07-01,9104.984905163295,-41690.07513408209,63182.49877499969
2023-08-01,11088.282167463603,-41407.124165326364,60492.626794849035
2023-09-01,9505.190421891259,-40682.25170254866,57182.27533474663
2023-10-01,8421.06624727762,-44196.51791871777,58783.645572985515
2023-11-01,8848.411589274598,-39859.66599345295,60930.12588358867
2023-12-01,9742.383369794257,-41131.49163359986,60671.909425758226
