ds,yhat,yhat_lower,yhat_upper
2022-01-01,42258.87771917928,-145139.52970945017,231545.7170656209
2022-02-01,41073.26070838786,-152853.48866669775,246627.0458065455
2022-03-01,40015.38511506867,-156200.33091121176,225456.46946591997
2022-04-01,39052.21153238485,-150138.90302163528,226144.85666055666
2022-05-01,39005.68754373868,-150866.12702549782,240429.3921933383
2022-06-01,40821.67855108275,-155020.94714530048,237017.95536603584
2022-07-01,43433.988692979765,-145119.26337212845,261435.27964376516
2022-08-01,47224.886581260405,-138337.51488715227,235964.05851224143
2022-09-01,42897.46459623679,-146164.31411002696,239145.78722407453
2022-10-01,38448.80020651124,-164142.9874171323,229245.17483902056
2022-11-01,38070.11400604166,-151042.00042989812,236328.2592962744
2022-12-01,40789.12652125997,-159335.1624697216,239380.90595161894
2023-01-01,44279.95600180139,-142341.3927414059,240055.4710208963
2023-02-01,43598.31055417776,-136534.06605137358,229891.64841741446
2023-03-01,41161.68209589777,-154257.95167774195,224947.26376325157
2023-04-01,40652.77461117801,-150088.11802242385,221155.14172819507
2023-05-01,40888.860674175725,-146339.2334277767,239412.85671645927
2023-06-01,42304.28197516703,-147419.67309449942,245756.19399423577
2023-07-01,45272.44184894535,-153386.89635765366,242252.2437575573
2023-08-01,49265.217406458425,-138156.7451915629,231963.23165739822
2023-09-01,44759.004584194634,-156287.65876158862,230350.45916669638
2023-10-01,40227.94399818046,-153774.74793906696,233511.0306209567
2023-11-01,39329.972657512335,-149636.3817923242,238105.72299686348
2023-12-01,42261.9861537045,-156507.60090003064,230857.69397325962
