ds,yhat,yhat_lower,yhat_upper
2022-01-01,4750.639896081764,-3953.3582906179786,13211.51304074502
2022-02-01,4564.811205562847,-3506.507953615936,13066.870942370095
2022-03-01,3856.391192078165,-4595.82885012109,12505.043581711036
2022-04-01,3584.8394117221856,-4647.577731527757,12369.823965734178
2022-05-01,3038.7075251083606,-5695.303808883606,11332.981203090902
2022-06-01,2993.4374070592985,-5187.54464537959,11755.956437101375
2022-07-01,3127.822653515371,-5592.595805375416,12458.538130432413
2022-08-01,3426.7302558115603,-5643.122011029093,12327.559899515281
2022-09-01,3034.6318017676285,-5821.575597014863,12084.138748607073
2022-10-01,2865.171463260515,-5951.910525760488,11874.100238935758
2022-11-01,3486.526703873657,-5535.0846469342205,11860.133085875319
2022-12-01,4203.367700608991,-4290.690732322364,13391.014861082342
2023-01-01,4834.40792938417,-4075.6679346757637,13536.513364276274
2023-02-01,4710.514432261456,-3986.9546454841643,12649.329793567907
2023-03-01,3837.786750425268,-4699.600669820662,12503.395176636497
2023-04-01,3726.3119313759826,-5226.356986905012,12267.195954403907
2023-05-01,3133.8980634919126,-5218.48075815728,12012.140081805317
2023-06-01,3073.3415483835515,-5338.655542566761,11815.2775692536
2023-07-01,3205.0229365356267,-5308.866985012259,11004.314826688804
2023-08-01,3484.8932637891107,-5589.342590061139,11880.419929996962
2023-09-01,3085.33737584164,-5267.9271392492765,11888.16076427915
2023-10-01,2999.788577625897,-5809.075615278882,11764.494573827744
2023-11-01,3566.0985792122096,-5649.590971932259,12444.00999686515
2023-12-01,4239.193738430784,-4301.259986781875,12818.06833404152
