ds,yhat,yhat_lower,yhat_upper
2022-01-01,3958.2349893839796,-5150.31282986157,13821.372501941061
2022-02-01,3983.5396015010656,-5484.27460173873,13597.18379290184
2022-03-01,2941.108652838482,-6928.375282111145,12547.842105860598
2022-04-01,2436.5858860878734,-7493.56076782993,11207.607988603204
2022-05-01,1929.686119254814,-7265.304029447843,11770.838273695204
2022-06-01,2136.262763295214,-7397.504845534805,11826.140727371809
2022-07-01,2175.05119387486,-7460.028312329005,11254.89020647716
2022-08-01,2900.7307280683726,-6960.022435283056,12262.691878300071
2022-09-01,2173.557983298164,-7413.670227187165,12523.779201655068
2022-10-01,1605.9019102172097,-8229.026224514708,10684.966818422648
2022-11-01,1952.4430467883021,-7394.585366206009,11634.667799514891
2022-12-01,2790.732542019438,-6715.863504858341,12531.995784485656
2023-01-01,3632.0675604328444,-6324.000027237508,12791.582418540009
2023-02-01,3680.8989930471844,-5824.754482341084,13372.594722904452
2023-03-01,2516.0967887330426,-7356.73979520409,11976.92898976105
2023-04-01,2125.2374548834596,-7775.023889128299,11916.602458614936
2023-05-01,1604.06830278112,-7944.270525363048,10993.130615882154
2023-06-01,1784.125631802696,-8013.516353297516,11555.61824746058
2023-07-01,1774.2758362847705,-8260.186161602403,11728.232909137005
2023-08-01,2615.7481657701674,-7304.929384957772,12475.06161458031
2023-09-01,1793.8689941023083,-7975.284139953976,11082.36664440709
2023-10-01,1284.6915010769167,-8398.622802594904,10770.986357951557
2023-11-01,1560.7549726861907,-8349.147044728996,11640.38332082269
2023-12-01,2433.0274166810104,-6278.822531654444,11990.137857654228
