ds,yhat,yhat_lower,yhat_upper
2022-01-01,385.94238840729554,-33009.51583357878,32973.02827257186
2022-02-01,2873.619627277703,-27315.211969571516,32318.466762413565
2022-03-01,1171.7958711468646,-27934.06572032924,35226.057953311574
2022-04-01,1010.8228965124459,-29662.16327215349,31870.74349134299
2022-05-01,3076.191681126092,-30121.191948928164,36401.539711795594
2022-06-01,1219.0546080728989,-30369.478036572084,33694.533750795024
2022-07-01,2321.167946832146,-30309.277799305506,35188.04427302625
2022-08-01,3003.6594789267774,-27732.13527202757,32869.77945934151
2022-09-01,1922.3075239045813,-30550.011734723663,32943.94969561118
2022-10-01,1606.1157767640955,-30143.095511318057,33042.12995211056
2022-11-01,1724.3709272636809,-32496.179318800718,31738.063425679517
2022-12-01,1917.664090367736,-28045.649383735523,33877.40496543462
2023-01-01,1255.9843315844341,-31557.866927945484,33536.48734762099
2023-02-01,1725.849357052179,-29584.945009595976,33163.05885494861
2023-03-01,991.9805733157351,-31195.40287662658,31490.953902756544
2023-04-01,944.177428356877,-30134.447802226754,31917.487896897812
2023-05-01,2393.326837794458,-29583.688335605322,32806.157628767316
2023-06-01,1591.3705137125849,-29572.132574106156,36636.92243042512
2023-07-01,1570.841704624646,-30900.17944013631,33166.55354139432
2023-08-01,2462.5123611608706,-28592.670478570268,33417.486903623445
2023-09-01,1836.8370289777426,-28927.205228236475,32402.197678552435
2023-10-01,1447.8885186589496,-29288.571798528315,34956.16829003188
2023-11-01,1334.5533925833247,-29376.01185608765,35760.21635169923
2023-12-01,1080.3363217828492,-27953.376424407747,34706.49115198575
