ds,yhat,yhat_lower,yhat_upper
2022-01-01,170320.71079139694,-50098.63036514946,401813.75832410384
2022-02-01,155629.29678693268,-72640.5566035216,383310.1047588193
2022-03-01,149907.22836786605,-52704.51546692879,349222.31723809196
2022-04-01,140169.7625534968,-84253.14802951766,362729.45452159084
2022-05-01,144098.64699217354,-76952.68800968298,373096.0427312254
2022-06-01,159576.65106732832,-59795.2597149036,376783.87594364217
2022-07-01,182923.07796960408,-43107.31884740462,387010.63396766514
2022-08-01,187911.10089928145,-40694.556133354694,410942.1783171115
2022-09-01,162072.25530093935,-58313.48483650497,392598.4304897251
2022-10-01,143640.54245217805,-74740.89373279657,368977.2088328409
2022-11-01,150553.8081778266,-74411.97158731535,370951.8846318008
2022-12-01,174439.2502527589,-42259.75277638628,394755.77777533
2023-01-01,184770.30399681054,-23251.33876805979,406013.66136497067
2023-02-01,170532.37352544328,-61898.03018089665,401998.67658958194
2023-03-01,164075.49731351034,-69095.01823911644,380453.9927222807
2023-04-01,155064.09686872183,-79025.89356021765,380225.2874219036
2023-05-01,159152.8334881568,-54900.56732510414,395995.6180426801
2023-06-01,174413.76432739093,-55790.040327678216,396586.49047395703
2023-07-01,197809.74912460757,-26303.163004877475,424043.4367827027
2023-08-01,202445.6791451883,-32051.970609476874,418023.4493601828
2023-09-01,176267.5374619616,-42620.18500500937,399239.6841506615
2023-10-01,158433.0535283689,-73763.85631895029,391886.04328744364
2023-11-01,165673.92231464645,-70945.31868450958,388492.4189535175
2023-12-01,189628.09690767474,-42679.93084717053,410381.5968920668
