ds,yhat,yhat_lower,yhat_upper
2022-01-01,9639.347044114465,-5167.64999603332,24475.495756756376
2022-02-01,9458.457003616852,-5345.94896648176,24990.16718078466
2022-03-01,8251.780039092651,-7722.050604500845,22952.732021229276
2022-04-01,7874.7685032274385,-7768.417250677927,22734.99695892506
2022-05-01,7485.856126162208,-7862.636646174635,22580.35101841889
2022-06-01,8722.453707153112,-5589.5683420599735,24716.90945941878
2022-07-01,9358.088074274885,-6255.807792737104,24294.72305939769
2022-08-01,11099.879140517876,-4347.193096123243,26166.537121250636
2022-09-01,9497.583075865194,-5041.181799621437,24748.18556110615
2022-10-01,7498.9650871991635,-8237.987279503815,21678.75231756836
2022-11-01,7409.295168782524,-7926.329549988133,23395.742771467296
2022-12-01,8727.83795135613,-7551.334748262658,23343.115647524915
2023-01-01,10008.523668091673,-4718.213773611256,25866.54736620972
2023-02-01,9955.018637388976,-4564.401149900764,24146.083138357026
2023-03-01,8101.800699235853,-7123.949176277652,23133.69391938609
2023-04-01,8004.287798990653,-8046.481392217047,22036.469569430305
2023-05-01,7668.468729496439,-6450.68554208302,21828.501044988298
2023-06-01,8885.442387619247,-7112.988534919755,24044.231426755297
2023-07-01,9558.187067528166,-5397.631209644821,25653.29945543916
2023-08-01,11466.89125684852,-2344.367407127942,27160.988995702734
2023-09-01,9668.51575755125,-5862.201984702035,25251.215025830683
2023-10-01,7582.897013188923,-6811.332744935147,23072.902300272133
2023-11-01,7404.132296154176,-7003.978358960004,22974.62228227262
2023-12-01,8838.586462314188,-6783.125402670877,23813.61585962359
