ds,yhat,yhat_lower,yhat_upper
2022-01-01,152339.21900549892,-102492.66724394327,406308.263046731
2022-02-01,143939.92744345544,-112048.05998402533,376599.7196940404
2022-03-01,163960.79396696997,-76823.87483174019,413708.18086624873
2022-04-01,155365.95874310474,-76454.0505986514,398453.0405583303
2022-05-01,151803.77624804754,-78986.66377901183,381079.84685340116
2022-06-01,148551.2218183236,-88678.49413938275,392151.24549559766
2022-07-01,141610.25629845573,-92545.5132884363,370792.4864538585
2022-08-01,142704.740285386,-78779.76075455493,387125.53473212133
2022-09-01,145011.60188616125,-106494.64392850423,380057.2991250826
2022-10-01,145120.82301607126,-108745.26347438995,390917.2474513342
2022-11-01,145764.68103530596,-97989.86075272996,379659.3377270787
2022-12-01,149726.6494170591,-76063.4612936125,392255.6430824926
2023-01-01,159059.87878396735,-78470.73427080209,401342.451861575
2023-02-01,150941.21761804388,-109037.69096761964,383998.26164916996
2023-03-01,173053.1388116742,-70707.85284470394,412022.3338875037
2023-04-01,164476.3862196447,-95148.66732762466,398579.3952145836
2023-05-01,159480.23847225512,-59793.61757637981,409842.244082037
2023-06-01,156044.0646387182,-79111.32240290463,404967.6505240233
2023-07-01,150389.0461936168,-83122.8256042111,395333.34175818885
2023-08-01,151070.764921749,-104084.48967140945,385780.2377542251
2023-09-01,152708.42312117753,-98810.90805702738,395012.14048420923
2023-10-01,152773.66209494774,-88083.49097078328,384395.12884429586
2023-11-01,154579.2831361442,-75579.14293032675,390510.0114516158
2023-12-01,159284.046053004,-104327.16700963811,389670.30427679163
