ds,yhat,yhat_lower,yhat_upper
2022-01-01,209.62692267969456,-126.94534224200241,567.6538361300966
2022-02-01,218.23149396669731,-120.51888255320002,563.0174047860761
2022-03-01,146.35902085856688,-195.91359554519397,485.0606919104328
2022-04-01,148.6821128613685,-212.50294805616974,489.99751115536
2022-05-01,135.28596287035788,-207.82454359602588,462.26150908400734
2022-06-01,142.8902542930677,-206.8766748857244,456.07623471145354
2022-07-01,144.6707919853368,-187.64118405471527,496.7060662751915
2022-08-01,183.46179769712768,-177.10964271277382,506.80403955742855
2022-09-01,134.4800112572884,-199.33658441695144,484.2875316159236
2022-10-01,163.25981790601068,-171.77588716608392,526.1080331317485
2022-11-01,198.43410592130215,-154.5610736915971,545.8838485900385
2022-12-01,186.08343531969413,-200.60101007050835,527.9231716449633
2023-01-01,183.69397169707412,-184.4619326872551,551.2705092071672
2023-02-01,190.9556510199357,-153.7101936199161,524.2095425771984
2023-03-01,122.97653152177807,-209.9284686834834,481.20584255898507
2023-04-01,124.19505097334635,-237.48839118443541,480.2398422123909
2023-05-01,109.94483375709164,-236.42028527302955,443.79272246108115
2023-06-01,117.07000227617576,-238.7612730939746,462.3984912572682
2023-07-01,119.22562515186372,-205.7093524953581,481.68583006711657
2023-08-01,157.26232990793306,-179.2699533335485,489.3397329863
2023-09-01,108.58647773259338,-238.83735792790964,455.29897245821235
2023-10-01,138.38494589728535,-200.3960464497724,495.7889365727466
2023-11-01,174.4918584892637,-183.52862160119858,509.25694244552994
2023-12-01,160.56554675716512,-185.55544979147865,492.29082715011526
