ds,yhat,yhat_lower,yhat_upper
2022-01-01,37777.92735743715,-84203.12906569327,163795.96797919288
2022-02-01,36257.08969278656,-91378.89147985382,160988.48766356986
2022-03-01,36257.24906787201,-84688.48224513204,144132.25108578254
2022-04-01,35687.085091605004,-82710.89798285397,150586.5509233954
2022-05-01,34481.16954244703,-77690.00593734888,152310.45432534657
2022-06-01,36212.35738700244,-78242.47454577214,152428.08795259983
2022-07-01,38670.87828938008,-75225.59640031091,154022.06478319847
2022-08-01,42351.886423749704,-75664.42527926013,165163.44716959252
2022-09-01,35409.01486045166,-68216.04480536944,155586.17071626068
2022-10-01,32049.140822605226,-93042.10526308873,147945.75404312141
2022-11-01,33040.46386488534,-78520.41219096775,148095.70315417508
2022-12-01,36281.05384837489,-78868.78332432738,156274.70331536856
2023-01-01,38100.351765598956,-79866.08682414441,158551.00177679656
2023-02-01,37369.36968023903,-78626.84385602051,155207.80152860892
2023-03-01,36098.30938048966,-84835.08707483562,160955.10975716275
2023-04-01,36041.92514825044,-82177.71978122328,157094.28999927558
2023-05-01,35011.991356744235,-83800.49703008663,149238.34067085825
2023-06-01,36227.812750862904,-88766.03259329734,154465.66218426725
2023-07-01,38795.39899811467,-78549.21832491366,163563.1446475767
2023-08-01,42485.21441158757,-73568.85214192097,154493.29346734
2023-09-01,36486.262923503324,-76437.36951686331,147403.11543247112
2023-10-01,32798.9860654552,-82882.14808951007,156959.04056204547
2023-11-01,32494.472226074195,-90201.54024850717,151579.5705868413
2023-12-01,36320.998259020846,-72330.22498964317,165195.40482551744
