ds,yhat,yhat_lower,yhat_upper
2022-01-01,9244.844784519315,-28614.772208269864,44227.90088321979
2022-02-01,8382.654605323343,-30664.7807387706,47225.268702877765
2022-03-01,8210.819501680426,-28773.6056100397,44274.56696285992
2022-04-01,7785.417439932679,-30052.97452631108,45268.86349828369
2022-05-01,7092.732932851384,-28090.508072568427,47612.39709399315
2022-06-01,7202.259629514649,-28055.66839428782,45480.73572533913
2022-07-01,7507.247485481254,-29645.71451144193,43330.42000138452
2022-08-01,8889.341761833803,-28738.40192503669,47245.29024013815
2022-09-01,6881.155080004698,-27016.216641289786,45758.738646382626
2022-10-01,5772.92761440976,-29255.003605842914,42774.863933879155
2022-11-01,6518.97055280211,-30835.48117383944,43917.18633328672
2022-12-01,7866.543263378812,-29259.737348618182,43605.63688160046
2023-01-01,8773.34808090032,-29735.28832609738,46937.70760404901
2023-02-01,8250.046249904724,-29498.778285877223,47060.91338151584
2023-03-01,7382.168708976603,-28919.175692999554,43022.333267888076
2023-04-01,7298.287140122927,-28566.47876933975,43322.53807366022
2023-05-01,6560.576338628024,-28308.9401315825,41678.172345175975
2023-06-01,6682.151574380576,-33137.29992110667,44833.987958467595
2023-07-01,7006.947816239559,-28983.19439444754,43827.680955516924
2023-08-01,8410.568061450322,-28697.15247525942,46907.360680472266
2023-09-01,6530.406927466293,-30192.49506843162,41799.57256131257
2023-10-01,5294.097302839842,-36073.2128824678,40853.623678197364
2023-11-01,5644.10282873427,-31376.645921001396,44423.476663900285
2023-12-01,7397.594610156339,-30285.196850237928,43963.08323663446
