ds,yhat,yhat_lower,yhat_upper
2022-01-01,695851.4319003641,-581154.5607145821,1967659.5074647507
2022-02-01,639132.963764197,-561331.9885545479,1834384.0056100606
2022-03-01,685684.5451301186,-533317.4859322517,1952893.7123413633
2022-04-01,638878.9492726112,-591730.3776873812,1803600.40971705
2022-05-01,644418.9844602541,-604625.8393681662,1936634.127337272
2022-06-01,685675.7454009963,-547322.9648769181,1893097.3660498385
2022-07-01,722014.9743673381,-573280.015759795,1995960.0692869637
2022-08-01,671252.0018677379,-627915.7698496613,1938301.6830578865
2022-09-01,604930.8761547419,-612494.4285003198,1913104.705651152
2022-10-01,647843.3853096664,-601911.8274519838,1972910.0113303042
2022-11-01,711185.1357140829,-552043.9673538819,1949479.8931847457
2022-12-01,739745.5723181339,-504356.75565222814,1963497.4506600741
2023-01-01,762765.6337645929,-556356.6258429877,2056381.445953176
2023-02-01,706841.947099718,-450337.8746664671,1932735.1825438624
2023-03-01,754069.6811648562,-501998.6977769739,1979058.1034891638
2023-04-01,707741.998723276,-563057.4781676565,1939572.6546392662
2023-05-01,714188.9929421195,-551064.3955761809,1878971.430433473
2023-06-01,753346.6190169988,-454470.66697916784,1969713.6900005068
2023-07-01,789798.5958235783,-444808.3070173417,2030042.1538408247
2023-08-01,738661.6890080773,-498716.6382639616,2004859.6682093367
2023-09-01,673222.1185309824,-512139.45667960454,1842727.8894907066
2023-10-01,716505.7975547373,-537316.1376816193,1826733.0188670848
2023-11-01,780700.4127101132,-401737.4005702479,2098022.583742105
2023-12-01,808018.1989534188,-349267.57980407664,1997527.7476529127
