ds,yhat,yhat_lower,yhat_upper
2022-01-01,4592.290101527221,-2068.578418643892,10829.184351663527
2022-02-01,3646.6185866458477,-2514.1679846760026,9662.196074434532
2022-03-01,3114.189520417117,-2929.658593257032,9275.099094798084
2022-04-01,3039.710832003943,-2737.773506372154,9632.935923994484
2022-05-01,2948.1136271416835,-3267.739759453019,9099.181448500294
2022-06-01,3164.8540393424555,-2632.9951900742158,9265.037627946278
2022-07-01,3476.3916608273717,-2762.6170324200616,9350.076552150698
2022-08-01,3666.5114883950396,-2485.9596876659625,10014.46611820914
2022-09-01,3439.819203570241,-2835.2272088709224,9176.903375096927
2022-10-01,2989.2275638081683,-3141.603462518041,8905.245361395364
2022-11-01,3042.73634230483,-2771.49893443854,9487.096925636179
2022-12-01,3649.334537140805,-2279.1504361381653,9835.301617450186
2023-01-01,4829.412309807802,-974.8652156233584,10779.85818920364
2023-02-01,3866.6361155501895,-2100.804118944823,9429.57846255929
2023-03-01,3477.660452793568,-2934.713185127803,9474.266052390887
2023-04-01,3474.976312998237,-2306.1177655636825,9473.720929673285
2023-05-01,3322.250393763868,-2371.5902518507946,9898.604206760729
2023-06-01,3511.65530000979,-2997.9415896149285,9199.83846844337
2023-07-01,3708.5206650596474,-2714.4483574615956,9922.89824394377
2023-08-01,3791.2382773491504,-1957.18311131297,9971.325911005753
2023-09-01,3893.089428496672,-1890.9711490797258,10046.535510953725
2023-10-01,3377.961114743639,-2409.3434159308404,9622.663443459538
2023-11-01,3452.8220167032446,-2396.2749096186662,9812.692163989906
2023-12-01,3960.033548649922,-2560.9527863800404,9973.549246527937
