ds,yhat,yhat_lower,yhat_upper
2022-01-01,2196.563264013158,-15403.440303881473,19588.119775585474
2022-02-01,2129.614727310776,-14980.991605963676,19855.84947682618
2022-03-01,438.00016436935505,-16428.13034946098,18392.38990458374
2022-04-01,3.4172600446395336,-19218.21158727697,17774.158780527505
2022-05-01,-739.5869700213935,-19262.54665504941,17251.33475076175
2022-06-01,-10.623161026638286,-18112.26207184647,17960.360426523333
2022-07-01,781.0531267263941,-17508.64118439357,18086.853740314145
2022-08-01,2508.3291234090057,-15986.62433956301,20741.487323377285
2022-09-01,1210.7087250928453,-15538.93492419788,19502.36889787406
2022-10-01,-8.507475283358502,-18198.454194736853,18987.205319460056
2022-11-01,-421.99484582093396,-18100.611627087972,17907.11166667076
2022-12-01,807.8867616028208,-17814.424036720848,19091.01865529402
2023-01-01,544.1778704559583,-17915.591124356215,17282.351224576487
2023-02-01,437.9540003176918,-18675.538928474365,19294.9845057602
2023-03-01,-1154.4873449383942,-19768.011186701548,16330.629033863124
2023-04-01,-1622.5960610346565,-20273.827202725723,17220.420653597037
2023-05-01,-2396.2850042408263,-20354.958389327876,15922.926110517152
2023-06-01,-1654.0417350996026,-18944.608230631773,16246.092578653122
2023-07-01,-849.8234642710745,-18808.654764495022,17579.520741940116
2023-08-01,877.9908736091024,-15990.238925554366,19803.40592280923
2023-09-01,-451.17486138346896,-17041.64209866069,17207.14768460815
2023-10-01,-1668.1751755896832,-18913.620591432147,16368.199754822099
2023-11-01,-2047.2893340207218,-20064.649252455707,16362.341726654058
2023-12-01,-777.4431494071541,-18523.055197071168,16564.73640092027
